sample_id,cell_line,exposure_seconds,seed,run_status,runtime_s,param__normoxic_CC_can_grow_probability,param__normoxic_CC_can_grow_diameter_rate,param__normoxic_CC_can_divide_probability,param__normoxic_CC_can_divide_diameter_cutoff,param__normoxic_CC_can_divide_O2_threshold,param__normoxic_CC_diameter_max,y_0h,time_0h,y_24h,time_24h,y_48h,time_48h,y_72h,time_72h
0,EGI1,0,0,ok,2.820673731039278,0.3450654386799476,2.692773425638056,0.05719088177326485,13.845234914011753,0.9145753107635861,25.238328401489664,1.0,1.0,1.2334525939177101,1.2334525939177101,1.9838998211091234,1.9838998211091234,3.0348837209302326,3.0348837209302326
0,EGI1,0,17,ok,2.9195402489276603,0.3450654386799476,2.692773425638056,0.05719088177326485,13.845234914011753,0.9145753107635861,25.238328401489664,1.0,1.0,1.2692307692307692,1.2692307692307692,2.0304114490161003,2.0304114490161003,3.085867620751342,3.085867620751342
0,EGI1,0,34,ok,2.8947020570049062,0.3450654386799476,2.692773425638056,0.05719088177326485,13.845234914011753,0.9145753107635861,25.238328401489664,1.0,1.0,1.2522361359570662,1.2522361359570662,2.0107334525939176,2.0107334525939176,3.0518783542039354,3.0518783542039354
1,EGI1,0,0,ok,2.0188810419058427,0.10281970327460005,0.6471759901410059,0.26119903235267034,19.83596017345462,0.9165274450845184,29.979366195842573,1.0,1.0,1.0831842576028623,1.0831842576028623,1.1028622540250448,1.1028622540250448,1.1037567084078712,1.1037567084078712
1,EGI1,0,17,ok,2.0658860970288515,0.10281970327460005,0.6471759901410059,0.26119903235267034,19.83596017345462,0.9165274450845184,29.979366195842573,1.0,1.0,1.071556350626118,1.071556350626118,1.0974955277280858,1.0974955277280858,1.0974955277280858,1.0974955277280858
1,EGI1,0,34,ok,2.013354583992623,0.10281970327460005,0.6471759901410059,0.26119903235267034,19.83596017345462,0.9165274450845184,29.979366195842573,1.0,1.0,1.07871198568873,1.07871198568873,1.1046511627906976,1.1046511627906976,1.1046511627906976,1.1046511627906976
2,EGI1,0,0,ok,3.0190238460199907,0.6363722430870995,0.11674530602690465,0.5352553420091696,14.592110537605986,0.2559690110973007,26.21506251009724,1.0,1.0,1.6225402504472273,1.6225402504472273,2.4382826475849733,2.4382826475849733,2.8676207513416814,2.8676207513416814
2,EGI1,0,17,ok,3.0780119609553367,0.6363722430870995,0.11674530602690465,0.5352553420091696,14.592110537605986,0.2559690110973007,26.21506251009724,1.0,1.0,1.6288014311270125,1.6288014311270125,2.453488372093023,2.453488372093023,2.8729874776386404,2.8729874776386404
2,EGI1,0,34,ok,3.1167128700762987,0.6363722430870995,0.11674530602690465,0.5352553420091696,14.592110537605986,0.2559690110973007,26.21506251009724,1.0,1.0,1.631484794275492,1.631484794275492,2.4499105545617175,2.4499105545617175,2.87567084078712,2.87567084078712
3,EGI1,0,0,ok,3.279767094994895,0.607950422576027,15.9311940018947,0.09581112058326856,20.966185276364833,0.3952766160509922,21.861980710539523,1.0,1.0,1.3962432915921288,1.3962432915921288,2.39087656529517,2.39087656529517,4.240608228980322,4.240608228980322
3,EGI1,0,17,ok,3.29216941294726,0.607950422576027,15.9311940018947,0.09581112058326856,20.966185276364833,0.3952766160509922,21.861980710539523,1.0,1.0,1.39087656529517,1.39087656529517,2.387298747763864,2.387298747763864,4.2397137745974955,4.2397137745974955
3,EGI1,0,34,ok,3.26912902307231,0.607950422576027,15.9311940018947,0.09581112058326856,20.966185276364833,0.3952766160509922,21.861980710539523,1.0,1.0,1.4105545617173525,1.4105545617173525,2.4221824686940967,2.4221824686940967,4.240608228980322,4.240608228980322
4,EGI1,0,0,ok,3.7631971450755373,0.9148356220045436,0.26394109940439897,0.7180321363060479,16.903877604197746,0.8506867420958615,23.048866016414124,1.0,1.0,1.6592128801431127,1.6592128801431127,2.9686940966010735,2.9686940966010735,5.517889087656529,5.517889087656529
4,EGI1,0,17,ok,3.7763066919287667,0.9148356220045436,0.26394109940439897,0.7180321363060479,16.903877604197746,0.8506867420958615,23.048866016414124,1.0,1.0,1.6565295169946332,1.6565295169946332,2.962432915921288,2.962432915921288,5.516994633273703,5.516994633273703
4,EGI1,0,34,ok,3.8227310419315472,0.9148356220045436,0.26394109940439897,0.7180321363060479,16.903877604197746,0.8506867420958615,23.048866016414124,1.0,1.0,1.6538461538461537,1.6538461538461537,2.9499105545617175,2.9499105545617175,5.470483005366726,5.470483005366726
5,EGI1,0,0,ok,4.8757318060379475,0.6642884525783803,2.482355866472215,0.9631457521812057,15.257284744903634,0.2291058945628092,28.60514624037507,1.0,1.0,2.0,2.0,4.0,4.0,8.0,8.0
5,EGI1,0,17,ok,4.875697626033798,0.6642884525783803,2.482355866472215,0.9631457521812057,15.257284744903634,0.2291058945628092,28.60514624037507,1.0,1.0,2.0,2.0,4.0,4.0,8.0,8.0
5,EGI1,0,34,ok,4.864995246054605,0.6642884525783803,2.482355866472215,0.9631457521812057,15.257284744903634,0.2291058945628092,28.60514624037507,1.0,1.0,2.0,2.0,4.0,4.0,8.0,8.0
6,EGI1,0,0,ok,4.529478045995347,0.9663217455273023,18.85128986187656,0.3891912751748544,16.469791652276623,0.2397627356451621,23.61419965853345,1.0,1.0,1.9141323792486584,1.9141323792486584,3.8658318425760285,3.8658318425760285,7.801431127012522,7.801431127012522
6,EGI1,0,17,ok,4.464563337969594,0.9663217455273023,18.85128986187656,0.3891912751748544,16.469791652276623,0.2397627356451621,23.61419965853345,1.0,1.0,1.9141323792486584,1.9141323792486584,3.8765652951699465,3.8765652951699465,7.792486583184258,7.792486583184258
6,EGI1,0,34,ok,4.5051193840336055,0.9663217455273023,18.85128986187656,0.3891912751748544,16.469791652276623,0.2397627356451621,23.61419965853345,1.0,1.0,1.9150268336314848,1.9150268336314848,3.8658318425760285,3.8658318425760285,7.834525939177102,7.834525939177102
7,EGI1,0,0,ok,2.580704914056696,0.6527080368247834,0.319434527050436,0.45206561950506224,19.287044024051813,0.6079118304956128,21.322478306355066,1.0,1.0,1.3577817531305902,1.3577817531305902,1.8506261180679786,1.8506261180679786,2.269230769230769,2.269230769230769
7,EGI1,0,17,ok,2.6507672329898924,0.6527080368247834,0.319434527050436,0.45206561950506224,19.287044024051813,0.6079118304956128,21.322478306355066,1.0,1.0,1.3389982110912344,1.3389982110912344,1.8336314847942754,1.8336314847942754,2.276386404293381,2.276386404293381
7,EGI1,0,34,ok,2.6089338490273803,0.6527080368247834,0.319434527050436,0.45206561950506224,19.287044024051813,0.6079118304956128,21.322478306355066,1.0,1.0,1.3443649373881932,1.3443649373881932,1.8738819320214668,1.8738819320214668,2.3202146690518783,2.3202146690518783
8,EGI1,0,0,ok,3.6422222449909896,0.1286831749217214,0.9421899887677153,0.36313521986863284,12.954190744272442,0.13305805565794468,20.16872506895116,1.0,1.0,1.7638640429338104,1.7638640429338104,3.1699463327370303,3.1699463327370303,5.426654740608229,5.426654740608229
8,EGI1,0,17,ok,3.5988183139124885,0.1286831749217214,0.9421899887677153,0.36313521986863284,12.954190744272442,0.13305805565794468,20.16872506895116,1.0,1.0,1.762969588550984,1.762969588550984,3.1627906976744184,3.1627906976744184,5.379248658318426,5.379248658318426
8,EGI1,0,34,ok,3.659923173021525,0.1286831749217214,0.9421899887677153,0.36313521986863284,12.954190744272442,0.13305805565794468,20.16872506895116,1.0,1.0,1.7584973166368516,1.7584973166368516,3.17262969588551,3.17262969588551,5.380143112701252,5.380143112701252
9,EGI1,0,0,ok,4.744746704003774,0.9612907498097709,0.7197746874485043,0.5762691725107086,12.61471649367019,0.1583972688593473,28.336997709923153,1.0,1.0,1.986583184257603,1.986583184257603,3.9919499105545615,3.9919499105545615,7.994633273703041,7.994633273703041
9,EGI1,0,17,ok,4.734196497010998,0.9612907498097709,0.7197746874485043,0.5762691725107086,12.61471649367019,0.1583972688593473,28.336997709923153,1.0,1.0,1.9856887298747763,1.9856887298747763,3.988372093023256,3.988372093023256,7.9919499105545615,7.9919499105545615
9,EGI1,0,34,ok,4.72523735195864,0.9612907498097709,0.7197746874485043,0.5762691725107086,12.61471649367019,0.1583972688593473,28.336997709923153,1.0,1.0,1.983005366726297,1.983005366726297,3.993738819320215,3.993738819320215,7.999105545617174,7.999105545617174
10,EGI1,0,0,ok,3.99256081902422,0.16138721936341285,3.945646490449234,0.283214264888454,13.7596316572123,0.5755518214415565,24.713029366917272,1.0,1.0,1.7638640429338104,1.7638640429338104,3.4704830053667264,3.4704830053667264,6.895348837209302,6.895348837209302
10,EGI1,0,17,ok,4.060894379974343,0.16138721936341285,3.945646490449234,0.283214264888454,13.7596316572123,0.5755518214415565,24.713029366917272,1.0,1.0,1.7611806797853309,1.7611806797853309,3.4713774597495526,3.4713774597495526,6.858676207513417,6.858676207513417
10,EGI1,0,34,ok,3.99825730395969,0.16138721936341285,3.945646490449234,0.283214264888454,13.7596316572123,0.5755518214415565,24.713029366917272,1.0,1.0,1.759391771019678,1.759391771019678,3.4776386404293382,3.4776386404293382,6.927549194991055,6.927549194991055
11,EGI1,0,0,ok,2.788305204943754,0.2141864356559763,0.6560462924521695,0.3503359759419164,16.830431274343255,0.09203426990196897,29.692625292319008,1.0,1.0,1.445438282647585,1.445438282647585,2.066189624329159,2.066189624329159,2.6699463327370303,2.6699463327370303
11,EGI1,0,17,ok,2.7800488650100306,0.2141864356559763,0.6560462924521695,0.3503359759419164,16.830431274343255,0.09203426990196897,29.692625292319008,1.0,1.0,1.445438282647585,1.445438282647585,2.1028622540250446,2.1028622540250446,2.686046511627907,2.686046511627907
11,EGI1,0,34,ok,2.767158293048851,0.2141864356559763,0.6560462924521695,0.3503359759419164,16.830431274343255,0.09203426990196897,29.692625292319008,1.0,1.0,1.4552772808586762,1.4552772808586762,2.1019677996422184,2.1019677996422184,2.7245080500894456,2.7245080500894456
12,EGI1,0,0,ok,3.7658637448912486,0.8194516190967681,12.068813749113328,0.2301605898606827,16.207363195575287,0.9507877187426257,26.505010483565435,1.0,1.0,1.7486583184257602,1.7486583184257602,3.2540250447227193,3.2540250447227193,4.810375670840787,4.810375670840787
12,EGI1,0,17,ok,3.742307619075291,0.8194516190967681,12.068813749113328,0.2301605898606827,16.207363195575287,0.9507877187426257,26.505010483565435,1.0,1.0,1.7415026833631484,1.7415026833631484,3.282647584973166,3.282647584973166,4.782647584973167,4.782647584973167
12,EGI1,0,34,ok,3.789675437961705,0.8194516190967681,12.068813749113328,0.2301605898606827,16.207363195575287,0.9507877187426257,26.505010483565435,1.0,1.0,1.7164579606440071,1.7164579606440071,3.2334525939177103,3.2334525939177103,4.7504472271914135,4.7504472271914135
13,EGI1,0,0,ok,2.5327284849481657,0.01947885963876583,5.709333320418123,0.4568577043572629,16.892217179658175,0.8051898362363065,21.923375447345677,1.0,1.0,1.3801431127012522,1.3801431127012522,1.755813953488372,1.755813953488372,2.0724508050089447,2.0724508050089447
13,EGI1,0,17,ok,2.5352017499972135,0.01947885963876583,5.709333320418123,0.4568577043572629,16.892217179658175,0.8051898362363065,21.923375447345677,1.0,1.0,1.3828264758497317,1.3828264758497317,1.7459749552772807,1.7459749552772807,2.0635062611806796,2.0635062611806796
13,EGI1,0,34,ok,2.577544947969727,0.01947885963876583,5.709333320418123,0.4568577043572629,16.892217179658175,0.8051898362363065,21.923375447345677,1.0,1.0,1.3917710196779964,1.3917710196779964,1.7522361359570662,1.7522361359570662,2.0438282647584973,2.0438282647584973
14,EGI1,0,0,ok,3.5142281689913943,0.5653838179193029,4.679555227579828,0.5434973894439216,21.349623963711874,0.2436937916617289,20.607727990441933,1.0,1.0,1.8050089445438282,1.8050089445438282,3.012522361359571,3.012522361359571,4.461538461538462,4.461538461538462
14,EGI1,0,17,ok,3.577561873011291,0.5653838179193029,4.679555227579828,0.5434973894439216,21.349623963711874,0.2436937916617289,20.607727990441933,1.0,1.0,1.802325581395349,1.802325581395349,3.0107334525939176,3.0107334525939176,4.476744186046512,4.476744186046512
14,EGI1,0,34,ok,3.553957355907187,0.5653838179193029,4.679555227579828,0.5434973894439216,21.349623963711874,0.2436937916617289,20.607727990441933,1.0,1.0,1.802325581395349,1.802325581395349,3.0026833631484795,3.0026833631484795,4.4338103756708405,4.4338103756708405
15,EGI1,0,0,ok,2.619542708969675,0.13884995842307485,1.0083701415620043,0.8311360207391987,17.697783652057073,0.47606063796105125,24.57259821229006,1.0,1.0,1.4096601073345258,1.4096601073345258,1.836314847942755,1.836314847942755,2.1744186046511627,2.1744186046511627
15,EGI1,0,17,ok,2.6047383670229465,0.13884995842307485,1.0083701415620043,0.8311360207391987,17.697783652057073,0.47606063796105125,24.57259821229006,1.0,1.0,1.4087656529516994,1.4087656529516994,1.8389982110912344,1.8389982110912344,2.1404293381037567,2.1404293381037567
15,EGI1,0,34,ok,2.638151637976989,0.13884995842307485,1.0083701415620043,0.8311360207391987,17.697783652057073,0.47606063796105125,24.57259821229006,1.0,1.0,1.4275491949910555,1.4275491949910555,1.8604651162790697,1.8604651162790697,2.1815742397137745,2.1815742397137745
16,EGI1,0,0,ok,4.764574278029613,0.9186208676718599,0.9731284434529262,0.8498804314706182,15.891153793080573,0.040649094760695836,25.984303500492132,1.0,1.0,1.9991055456171736,1.9991055456171736,3.998211091234347,3.998211091234347,7.996422182468694,7.996422182468694
16,EGI1,0,17,ok,4.780335285002366,0.9186208676718599,0.9731284434529262,0.8498804314706182,15.891153793080573,0.040649094760695836,25.984303500492132,1.0,1.0,1.9991055456171736,1.9991055456171736,3.998211091234347,3.998211091234347,7.996422182468694,7.996422182468694
16,EGI1,0,34,ok,4.7941147139063105,0.9186208676718599,0.9731284434529262,0.8498804314706182,15.891153793080573,0.040649094760695836,25.984303500492132,1.0,1.0,2.0,2.0,4.0,4.0,8.0,8.0
17,EGI1,0,0,ok,3.790733384084888,0.27142658990233237,2.272524679125053,0.44227432191568616,19.40593565624578,0.3014393265170471,22.593657172343676,1.0,1.0,1.7245080500894454,1.7245080500894454,3.2057245080500896,3.2057245080500896,6.175313059033989,6.175313059033989
17,EGI1,0,17,ok,3.822105932980776,0.27142658990233237,2.272524679125053,0.44227432191568616,19.40593565624578,0.3014393265170471,22.593657172343676,1.0,1.0,1.7352415026833632,1.7352415026833632,3.257602862254025,3.257602862254025,6.287119856887299,6.287119856887299
