1118
 0.000000 0.000000 0.000000 18.147237  1 0 0 0 1 0 0 0 1  1
 0.000000 490.000000 0.000000 19.057919  1 0 0 0 1 0 0 0 1  1
 490.000000 0.000000 0.000000 11.269868  1 0 0 0 1 0 0 0 1  1
 0.000000 -490.000000 0.000000 19.133759  1 0 0 0 1 0 0 0 1  1
 -490.000000 0.000000 0.000000 16.323592  1 0 0 0 1 0 0 0 1  1
 29.585464 489.106022 0.000000 10.975404  1 0 0 0 1 0 0 0 1  1
 59.062973 486.427348 0.000000 12.784982  1 0 0 0 1 0 0 0 1  1
 88.324969 481.973754 0.000000 15.468815  1 0 0 0 1 0 0 0 1  1
 117.264676 475.761490 0.000000 19.575068  1 0 0 0 1 0 0 0 1  1
 145.776497 467.813224 0.000000 19.648885  1 0 0 0 1 0 0 0 1  1
 173.756395 458.157959 0.000000 11.576131  1 0 0 0 1 0 0 0 1  1
 201.102275 446.830924 0.000000 19.705928  1 0 0 0 1 0 0 0 1  1
 227.714355 433.873452 0.000000 19.571669  1 0 0 0 1 0 0 0 1  1
 253.495530 419.332823 0.000000 14.853756  1 0 0 0 1 0 0 0 1  1
 278.351727 403.262094 0.000000 18.002805  1 0 0 0 1 0 0 0 1  1
 302.192248 385.719905 0.000000 11.418863  1 0 0 0 1 0 0 0 1  1
 324.930103 366.770266 0.000000 14.217613  1 0 0 0 1 0 0 0 1  1
 346.482324 346.482322 0.000000 19.157355  1 0 0 0 1 0 0 0 1  1
 366.770267 324.930102 0.000000 17.922073  1 0 0 0 1 0 0 0 1  1
 385.719906 302.192247 0.000000 19.594924  1 0 0 0 1 0 0 0 1  1
 403.262095 278.351725 0.000000 16.557407  1 0 0 0 1 0 0 0 1  1
 419.332824 253.495528 0.000000 10.357117  1 0 0 0 1 0 0 0 1  1
 433.873453 227.714354 0.000000 18.491293  1 0 0 0 1 0 0 0 1  1
 446.830925 201.102274 0.000000 19.339932  1 0 0 0 1 0 0 0 1  1
 458.157959 173.756394 0.000000 16.787352  1 0 0 0 1 0 0 0 1  1
 467.813225 145.776496 0.000000 17.577401  1 0 0 0 1 0 0 0 1  1
 475.761491 117.264675 0.000000 17.431325  1 0 0 0 1 0 0 0 1  1
 481.973754 88.324968 0.000000 13.922270  1 0 0 0 1 0 0 0 1  1
 486.427348 59.062973 0.000000 16.554779  1 0 0 0 1 0 0 0 1  1
 489.106022 29.585464 0.000000 11.711867  1 0 0 0 1 0 0 0 1  1
 489.106022 -29.585464 0.000000 17.060461  1 0 0 0 1 0 0 0 1  1
 486.427348 -59.062973 0.000000 10.318328  1 0 0 0 1 0 0 0 1  1
 481.973754 -88.324969 0.000000 12.769230  1 0 0 0 1 0 0 0 1  1
 475.761490 -117.264676 0.000000 10.461714  1 0 0 0 1 0 0 0 1  1
 467.813224 -145.776497 0.000000 10.971318  1 0 0 0 1 0 0 0 1  1
 458.157959 -173.756395 0.000000 18.234578  1 0 0 0 1 0 0 0 1  1
 446.830924 -201.102275 0.000000 16.948286  1 0 0 0 1 0 0 0 1  1
 433.873452 -227.714355 0.000000 13.170995  1 0 0 0 1 0 0 0 1  1
 419.332823 -253.495530 0.000000 19.502220  1 0 0 0 1 0 0 0 1  1
 403.262094 -278.351727 0.000000 10.344461  1 0 0 0 1 0 0 0 1  1
 385.719905 -302.192248 0.000000 14.387444  1 0 0 0 1 0 0 0 1  1
 366.770266 -324.930103 0.000000 13.815585  1 0 0 0 1 0 0 0 1  1
 346.482322 -346.482324 0.000000 17.655168  1 0 0 0 1 0 0 0 1  1
 324.930102 -366.770267 0.000000 17.951999  1 0 0 0 1 0 0 0 1  1
 302.192247 -385.719906 0.000000 11.868726  1 0 0 0 1 0 0 0 1  1
 278.351725 -403.262095 0.000000 14.897644  1 0 0 0 1 0 0 0 1  1
 253.495528 -419.332824 0.000000 14.455862  1 0 0 0 1 0 0 0 1  1
 227.714354 -433.873453 0.000000 16.463130  1 0 0 0 1 0 0 0 1  1
 201.102274 -446.830925 0.000000 17.093648  1 0 0 0 1 0 0 0 1  1
 173.756394 -458.157959 0.000000 17.546867  1 0 0 0 1 0 0 0 1  1
 145.776496 -467.813225 0.000000 12.760251  1 0 0 0 1 0 0 0 1  1
 117.264675 -475.761491 0.000000 16.797027  1 0 0 0 1 0 0 0 1  1
 88.324968 -481.973754 0.000000 16.550980  1 0 0 0 1 0 0 0 1  1
 59.062973 -486.427348 0.000000 11.626117  1 0 0 0 1 0 0 0 1  1
 29.585464 -489.106022 0.000000 11.189977  1 0 0 0 1 0 0 0 1  1
 -29.585464 -489.106022 0.000000 14.983641  1 0 0 0 1 0 0 0 1  1
 -59.062973 -486.427348 0.000000 19.597440  1 0 0 0 1 0 0 0 1  1
 -88.324969 -481.973754 0.000000 13.403857  1 0 0 0 1 0 0 0 1  1
 -117.264676 -475.761490 0.000000 15.852678  1 0 0 0 1 0 0 0 1  1
 -145.776497 -467.813224 0.000000 12.238119  1 0 0 0 1 0 0 0 1  1
 -173.756395 -458.157959 0.000000 17.512671  1 0 0 0 1 0 0 0 1  1
 -201.102275 -446.830924 0.000000 12.550951  1 0 0 0 1 0 0 0 1  1
 -227.714355 -433.873452 0.000000 15.059571  1 0 0 0 1 0 0 0 1  1
 -253.495530 -419.332823 0.000000 16.990767  1 0 0 0 1 0 0 0 1  1
 -278.351727 -403.262094 0.000000 18.909033  1 0 0 0 1 0 0 0 1  1
 -302.192248 -385.719905 0.000000 19.592914  1 0 0 0 1 0 0 0 1  1
 -324.930103 -366.770266 0.000000 15.472155  1 0 0 0 1 0 0 0 1  1
 -346.482324 -346.482322 0.000000 11.386244  1 0 0 0 1 0 0 0 1  1
 -366.770267 -324.930102 0.000000 11.492940  1 0 0 0 1 0 0 0 1  1
 -385.719906 -302.192247 0.000000 12.575083  1 0 0 0 1 0 0 0 1  1
 -403.262095 -278.351725 0.000000 18.407173  1 0 0 0 1 0 0 0 1  1
 -419.332824 -253.495528 0.000000 12.542822  1 0 0 0 1 0 0 0 1  1
 -433.873453 -227.714354 0.000000 18.142848  1 0 0 0 1 0 0 0 1  1
 -446.830925 -201.102274 0.000000 12.435250  1 0 0 0 1 0 0 0 1  1
 -458.157959 -173.756394 0.000000 19.292636  1 0 0 0 1 0 0 0 1  1
 -467.813225 -145.776496 0.000000 13.499838  1 0 0 0 1 0 0 0 1  1
