current_time, N_vessels, N_cells, tumor_volume_mm3, N_cells_pheno_0, N_cells_pheno_2, N_cells_pheno_2_Ap, N_cells_pheno_2_G1, N_cells_pheno_2_Sy, N_cells_pheno_2_G2, N_cells_pheno_2_Di, N_cells_pheno_2_Tr, N_cells_pheno_2_G0, N_cell_protrusions
0,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
1,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
2,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
3,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
4,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
5,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
6,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
7,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
8,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
9,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
10,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
11,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
12,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
13,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
14,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
15,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
16,0,1118,0.470596,0,1118,0,0,0,1118,0,0,0,0
17,0,1118,0.470596,0,1118,0,0,0,1118,0,0,0,0
18,0,1118,0.470596,0,1118,0,0,0,1118,0,0,0,0
19,0,1118,0.470596,0,1118,0,0,0,1118,0,0,0,0
20,0,1970,0.4805,0,1970,0,1704,0,0,266,0,0,0
21,0,2173,0.471917,0,2173,0,2110,0,0,63,0,0,0
22,0,2223,0.477677,0,2223,0,2210,0,0,13,0,0,0
23,0,2233,0.470559,0,2233,0,2230,0,0,3,0,0,0
24,0,2236,0.472935,0,2236,0,2236,0,0,0,0,0,0
25,0,2236,0.470554,0,2236,0,2236,0,0,0,0,0,0
26,0,2236,0.470554,0,2236,0,2236,0,0,0,0,0,0
27,0,2236,0.470554,0,2236,0,2236,0,0,0,0,0,0
28,0,2236,0.470554,0,2236,0,1384,852,0,0,0,0,0
29,0,2236,0.470554,0,2236,0,329,1907,0,0,0,0,0
30,0,2236,0.470554,0,2236,0,76,2160,0,0,0,0,0
31,0,2236,0.470554,0,2236,0,16,2220,0,0,0,0,0
32,0,2236,0.470554,0,2236,0,3,2233,0,0,0,0,0
33,0,2236,0.470554,0,2236,0,0,2236,0,0,0,0,0
34,0,2236,0.470554,0,2236,0,0,2236,0,0,0,0,0
35,0,2236,0.470554,0,2236,0,0,2236,0,0,0,0,0
36,0,2236,0.470554,0,2236,0,0,1384,852,0,0,0,0
37,0,2236,0.470554,0,2236,0,0,329,1907,0,0,0,0
38,0,2236,0.470554,0,2236,0,0,76,2160,0,0,0,0
39,0,2236,0.470553,0,2236,0,0,16,2220,0,0,0,0
40,0,2897,0.472964,0,2897,0,1322,3,1381,191,0,0,0
41,0,3862,0.480039,0,3862,0,3252,0,329,281,0,0,0
42,0,4288,0.476935,0,4288,0,4104,0,76,108,0,0,0
43,0,4417,0.478634,0,4417,0,4362,0,16,39,0,0,0
44,0,4462,0.470563,0,4462,0,4452,0,3,7,0,0,0
45,0,4467,0.470563,0,4467,0,4462,0,0,5,0,0,0
46,0,4471,0.471146,0,4471,0,4470,0,0,1,0,0,0
47,0,4471,0.470532,0,4471,0,4470,0,0,1,0,0,0
48,0,4471,0.470531,0,4471,0,3809,661,0,1,0,0,0
49,0,4471,0.470531,0,4471,0,2183,2287,0,1,0,0,0
50,0,4472,0.470531,0,4472,0,794,3678,0,0,0,0,0
51,0,4472,0.470531,0,4472,0,239,4233,0,0,0,0,0
52,0,4472,0.470531,0,4472,0,65,4407,0,0,0,0,0
53,0,4472,0.470531,0,4472,0,15,4457,0,0,0,0,0
54,0,4472,0.470531,0,4472,0,6,4466,0,0,0,0,0
55,0,4472,0.470531,0,4472,0,2,4470,0,0,0,0,0
56,0,4472,0.470531,0,4472,0,2,3809,661,0,0,0,0
57,0,4472,0.470531,0,4472,0,2,2183,2287,0,0,0,0
58,0,4472,0.470531,0,4472,0,1,793,3678,0,0,0,0
59,0,4472,0.470531,0,4472,0,0,239,4233,0,0,0,0
60,0,4978,0.476683,0,4978,0,1012,65,3746,155,0,0,0
61,0,6371,0.481879,0,6371,0,3798,15,2170,388,0,0,0
62,0,7746,0.478163,0,7746,0,6548,6,788,404,0,0,0
63,0,8501,0.47934,0,8501,0,8058,2,237,204,0,0,0
64,0,8799,0.478536,0,8799,0,8654,2,63,80,0,0,0
65,0,8899,0.470687,0,8899,0,8854,2,13,30,0,0,0
66,0,8933,0.473053,0,8933,0,8922,1,5,5,0,0,0
67,0,8937,0.471725,0,8937,0,8930,0,2,5,0,0,0
68,0,8940,0.470594,0,8940,0,8430,506,2,2,0,0,0
69,0,8942,0.470594,0,8942,0,6535,2405,2,0,0,0,0
70,0,8943,0.470594,0,8943,0,3769,5173,1,0,0,0,0
71,0,8944,0.470594,0,8944,0,1641,7303,0,0,0,0,0
72,0,8944,0.470594,0,8944,0,588,8356,0,0,0,0,0
