time_h,simulation_raw_viable,y_data,y_fit,simulation_comparable,residual
0.0,1118.0,1.0,1.0,1.0,0.0
24.0,2230.0,1.984236872936415,1.9955277280858676,1.9946332737030412,-0.011290855149452605
48.0,4469.0,4.491142116661341,3.9959749552772807,3.9973166368515205,0.49516716138406025
72.0,8941.0,9.08676820392658,7.9995527728085865,7.9973166368515205,1.0872154311179933
