eval,stage_eval,chi2,stage,p1,p2,p3,p4,p5,p6
1,1,0.002150320743438228,0-24h,0.17951108,10.244646,0.29564496,18.0,0.65,20.0
2,2,0.0024637635831016498,0-24h,0.1848964124,10.244646,0.29564496,18.0,0.65,20.0
3,3,0.002188199810874153,0-24h,0.17951108,10.55198538,0.29564496,18.0,0.65,20.0
4,4,0.0022457117779375456,0-24h,0.17951108,10.244646,0.3045143088,18.0,0.65,20.0
5,5,0.002353322509805371,0-24h,0.17951108,10.244646,0.29564496,18.54,0.65,20.0
6,6,0.0020849185070354,0-24h,0.17951108,10.244646,0.29564496,18.0,0.6695,20.0
7,7,0.0024132107619564786,0-24h,0.17951108,10.244646,0.29564496,18.0,0.65,20.6
8,8,0.004348542240354825,0-24h,0.12900497093860808,10.12005694469524,0.2746594860285754,17.70579296394033,0.6539464569493317,19.99985565704237
9,9,0.0026189679695046877,0-24h,0.16699181247661085,10.211007233619588,0.29008713660089885,17.9212049046396,0.6510658900842474,19.999961234860322
10,10,0.0023831611433165903,0-24h,0.17635979173625677,10.236733039753963,0.29431731160999774,17.98134461843712,0.6502506660710619,19.999990842247623
11,11,0.0024536059256819055,0-24h,0.1787222397956943,10.242691770467584,0.2953161007421057,17.995387037279023,0.6500619027553346,19.999997736501257
12,12,0.0023731915123531276,0-24h,0.17931381013228556,10.244158858945669,0.2955629260424592,17.99884976605363,0.650015430639361,19.99999943565718
13,13,0.002525205344451182,0-24h,0.17946175885049748,10.244524302016112,0.29562446266712883,17.99971262687738,0.6500038548837632,19.99999985900872
14,14,0.002094192802873684,0-24h,0.17949874948332448,10.244615580939902,0.2956398363617977,17.999928168265207,0.6500009635480444,19.99999996475806
15,15,0.0019396349162406987,0-24h,0.18488371196782422,10.244615580939902,0.2956398363617977,17.999928168265207,0.6500009635480444,19.99999996475806
16,16,0.0022650678745004373,0-24h,0.17949874948332448,10.5519540483681,0.2956398363617977,17.999928168265207,0.6500009635480444,19.99999996475806
17,17,0.001984409993999429,0-24h,0.17949874948332448,10.244615580939902,0.3045090314526516,17.999928168265207,0.6500009635480444,19.99999996475806
18,18,0.0022264484925281695,0-24h,0.17949874948332448,10.244615580939902,0.2956398363617977,18.539926013313163,0.6500009635480444,19.99999996475806
19,19,0.002094192802873684,0-24h,0.17949874948332448,10.244615580939902,0.2956398363617977,17.999928168265207,0.6695009924544857,19.99999996475806
20,20,0.002057233045327508,0-24h,0.17949874948332448,10.244615580939902,0.2956398363617977,17.999928168265207,0.6500009635480444,20.599999963700803
21,21,0.0022942763386713787,0-24h,0.17954732723303024,10.24438897311532,0.29566363338300666,17.999849102023934,0.6500009635480444,20.000016869234216
22,22,0.0023236943962279336,0-24h,0.17951089398591089,10.244558930278227,0.29564578553444204,17.999908402341283,0.6500009635480444,20.000004190715053
