current_time, N_vessels, N_cells, tumor_volume_mm3, N_cells_pheno_0, N_cells_pheno_2, N_cells_pheno_2_Ap, N_cells_pheno_2_G1, N_cells_pheno_2_Sy, N_cells_pheno_2_G2, N_cells_pheno_2_Di, N_cells_pheno_2_Tr, N_cells_pheno_2_G0, N_cell_protrusions
0,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
1,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
2,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
3,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
4,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
5,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
6,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
7,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
8,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
9,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
10,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
11,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
12,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
13,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
14,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
15,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
16,0,1118,0.470596,0,1118,0,0,0,1118,0,0,0,0
17,0,1118,0.470596,0,1118,0,0,0,1118,0,0,0,0
18,0,1118,0.470596,0,1118,0,0,0,1118,0,0,0,0
19,0,1118,0.470596,0,1118,0,0,0,1118,0,0,0,0
20,0,1459,0.473156,0,1459,0,682,0,0,777,0,0,0
21,0,1703,0.476096,0,1703,0,1170,0,0,533,0,0,0
22,0,1867,0.479341,0,1867,0,1498,0,0,369,0,0,0
23,0,1980,0.471509,0,1980,0,1724,0,0,256,0,0,0
24,0,2066,0.470586,0,2066,0,1896,0,0,170,0,0,0
25,0,2117,0.472957,0,2117,0,1998,0,0,119,0,0,0
26,0,2144,0.472515,0,2144,0,2052,0,0,92,0,0,0
27,0,2174,0.474125,0,2174,0,2112,0,0,62,0,0,0
28,0,2195,0.470571,0,2195,0,1813,341,0,41,0,0,0
29,0,2208,0.47057,0,2208,0,1254,926,0,28,0,0,0
30,0,2214,0.47057,0,2214,0,858,1334,0,22,0,0,0
31,0,2218,0.47057,0,2218,0,589,1611,0,18,0,0,0
32,0,2225,0.470951,0,2225,0,404,1810,0,11,0,0,0
33,0,2229,0.470571,0,2229,0,275,1947,0,7,0,0,0
34,0,2231,0.470571,0,2231,0,201,2025,0,5,0,0,0
35,0,2232,0.47057,0,2232,0,146,2082,0,4,0,0,0
36,0,2233,0.47057,0,2233,0,97,1792,341,3,0,0,0
37,0,2236,0.47057,0,2236,0,69,1241,926,0,0,0,0
38,0,2236,0.47057,0,2236,0,50,852,1334,0,0,0,0
39,0,2236,0.47057,0,2236,0,40,585,1611,0,0,0,0
40,0,2347,0.475008,0,2347,0,251,397,1469,230,0,0,0
41,0,2604,0.473614,0,2604,0,754,271,1021,558,0,0,0
42,0,2914,0.477024,0,2914,0,1368,199,691,656,0,0,0
43,0,3191,0.471189,0,3191,0,1919,145,471,656,0,0,0
44,0,3471,0.474411,0,3471,0,2477,96,323,575,0,0,0
45,0,3709,0.471599,0,3709,0,2949,66,220,474,0,0,0
46,0,3882,0.472444,0,3882,0,3292,50,161,379,0,0,0
47,0,4017,0.470584,0,4017,0,3562,40,114,301,0,0,0
48,0,4130,0.474285,0,4130,0,3677,140,74,239,0,0,0
49,0,4214,0.47058,0,4214,0,3477,497,51,189,0,0,0
50,0,4288,0.470707,0,4288,0,3058,1058,38,134,0,0,0
51,0,4329,0.47058,0,4329,0,2553,1642,31,103,0,0,0
52,0,4372,0.470579,0,4372,0,2082,2197,22,71,0,0,0
53,0,4401,0.472353,0,4401,0,1622,2711,15,53,0,0,0
54,0,4422,0.470587,0,4422,0,1253,3119,12,38,0,0,0
55,0,4436,0.470587,0,4436,0,973,3427,9,27,0,0,0
56,0,4445,0.473398,0,4445,0,743,3564,118,20,0,0,0
57,0,4450,0.470587,0,4450,0,556,3393,482,19,0,0,0
58,0,4456,0.473975,0,4456,0,410,2984,1046,16,0,0,0
59,0,4461,0.470601,0,4461,0,305,2512,1633,11,0,0,0
60,0,4500,0.470987,0,4500,0,299,2039,2079,83,0,0,0
61,0,4662,0.470601,0,4662,0,551,1593,2229,289,0,0,0
62,0,4959,0.47226,0,4959,0,1095,1232,2073,559,0,0,0
63,0,5327,0.471176,0,5327,0,1796,959,1794,778,0,0,0
64,0,5766,0.475164,0,5766,0,2651,734,1485,896,0,0,0
65,0,6209,0.475769,0,6209,0,3523,551,1164,971,0,0,0
66,0,6656,0.473004,0,6656,0,4406,404,911,935,0,0,0
67,0,7037,0.472493,0,7037,0,5157,300,718,862,0,0,0
68,0,7381,0.474357,0,7381,0,5801,260,554,766,0,0,0
69,0,7679,0.470609,0,7679,0,6196,389,429,665,0,0,0
70,0,7910,0.472553,0,7910,0,6199,798,321,592,0,0,0
71,0,8136,0.47394,0,8136,0,5986,1428,241,481,0,0,0
72,0,8321,0.471147,0,8321,0,5549,2212,180,380,0,0,0
