cell_line,exposure_label_raw,exposure_seconds,exposure_minutes,exposure_label,time_h,n1,n2,n3,n4,mean_sheet,sd_sheet,mean_recomputed,sd_recomputed,mean_used,sd_used,mean_t0_normalized,sd_t0_normalized,mean_abs_diff,sd_abs_diff
HuCCT1,5',300,5.0,Treat:5min,24,0.05395,0.21305,0.0568,0.1162333333333333,0.1229799999999999,0.0769566335311287,0.1100083333333333,0.0744535630816655,0.1100083333333333,0.0744535630816655,0.654446303526058,0.44292880063456,0.01297166666666659,0.002503070449463199
HuCCT1,5',300,5.0,Treat:5min,48,0.04355,0.17165,0.1455,0.1596166666666666,0.12797,0.0943507498645347,0.1300791666666666,0.0586676994464017,0.1300791666666666,0.0586676994464017,0.7738489186341946,0.3490177323452049,0.0021091666666666065,0.03568305041813301
HuCCT1,5',300,5.0,Treat:5min,72,0.0757,0.0761,0.0890499999999999,0.1034249999999999,0.0935071428571428,0.0184727435089444,0.08606875,0.0131277596305183,0.08606875,0.0131277596305183,0.512028258040528,0.0780978449854222,0.007438392857142803,0.0053449838784261
MiaPaCa2,"0""",0,0.0,Control,0,0.06895,0.0774,0.1304,0.2188875,0.142905,0.0689207514010418,0.123909375,0.0689120872433071,0.123909375,0.0689120872433071,1.0,0.5561490988337815,0.018995625000000002,8.664157734705746e-06
MiaPaCa2,"0""",0,0.0,Control,24,0.20475,0.3143249999999999,0.266575,0.2173999999999999,0.2507625,0.0469895147878755,0.2507625,0.0500680640894639,0.2507625,0.0500680640894639,2.0237572822879626,0.4040700236722517,0.0,0.0030785493015884
MiaPaCa2,"0""",0,0.0,Control,48,0.48885,0.77705,0.61785,0.421975,0.5764312500000001,0.1439261093698195,0.57643125,0.1565147535311501,0.57643125,0.1565147535311501,4.652039040629492,1.2631389152850632,1.1102230246251565e-16,0.012588644161330598
MiaPaCa2,"0""",0,0.0,Control,72,1.72195,2.024975,1.76065,1.1052583333333337,1.4705583333333336,0.4819528624945244,1.6532083333333334,0.3893279617566089,1.6532083333333334,0.3893279617566089,13.342076282229115,3.1420379753881327,0.18264999999999976,0.09262490073791552
MiaPaCa2,"15""",15,0.25,Treat:15s,0,0.06895,0.0774,0.1304,0.2188875,0.142905,0.0689207514010418,0.123909375,0.0689120872433071,0.123909375,0.0689120872433071,1.0,0.5561490988337815,0.018995625000000002,8.664157734705746e-06
MiaPaCa2,"15""",15,0.25,Treat:15s,24,0.1979,0.29305,0.22335,0.16325,0.2193874999999999,0.0531629150415426,0.2193875,0.0549393510306289,0.2193875,0.0549393510306289,1.7705480315754962,0.4433833277799111,1.1102230246251565e-16,0.0017764359890862988
MiaPaCa2,"15""",15,0.25,Treat:15s,48,0.3954499999999999,0.66865,0.5219,0.30705,0.4732625,0.1474767675408086,0.4732625,0.1572929982283593,0.4732625,0.1572929982283593,3.819424478575572,1.2694196724691682,0.0,0.009816230687550692
MiaPaCa2,"15""",15,0.25,Treat:15s,72,1.3924,1.6149,1.29865,0.9045666666666669,1.1699416666666669,0.3403063685411974,1.3026291666666667,0.2966712341642774,1.3026291666666667,0.2966712341642774,10.512757139374376,2.3942597899818105,0.13268749999999985,0.043635134376920015
MiaPaCa2,"30""",30,0.5,Treat:30s,0,0.06895,0.0774,0.1304,0.2188875,0.142905,0.0689207514010418,0.123909375,0.0689120872433071,0.123909375,0.0689120872433071,1.0,0.5561490988337815,0.018995625000000002,8.664157734705746e-06
MiaPaCa2,"30""",30,0.5,Treat:30s,24,0.16465,0.29555,0.2175,0.17405,0.2129375,0.0554831489862333,0.2129375,0.059692439149918,0.2129375,0.059692439149918,1.7184938589190688,0.4817427184175372,0.0,0.004209290163684702
MiaPaCa2,"30""",30,0.5,Treat:30s,48,0.31645,0.5868,0.4398999999999999,0.2543499999999999,0.3993749999999999,0.1364154761852818,0.399375,0.146832344869923,0.399375,0.146832344869923,3.223121737156692,1.1849978653344269,5.551115123125783e-17,0.0104168686846412
MiaPaCa2,"30""",30,0.5,Treat:30s,72,1.13405,1.21675,1.00605,0.6705166666666665,0.8947333333333335,0.2780130223677664,1.0068416666666666,0.2403876042515042,1.0068416666666666,0.2403876042515042,8.125629450287088,1.9400275746004223,0.11210833333333314,0.037625418116262216
MiaPaCa2,1',60,1.0,Treat:1min,0,0.06895,0.0774,0.1304,0.2188875,0.142905,0.0689207514010418,0.123909375,0.0689120872433071,0.123909375,0.0689120872433071,1.0,0.5561490988337815,0.018995625000000002,8.664157734705746e-06
MiaPaCa2,1',60,1.0,Treat:1min,24,0.1547,0.24385,0.20555,0.1604499999999999,0.1911375,0.0394333773597949,0.1911375,0.0418558712528282,0.1911375,0.0418558712528282,1.54255882575471,0.3377942246325449,0.0,0.002422493893033298
MiaPaCa2,1',60,1.0,Treat:1min,48,0.27735,0.42745,0.3439,0.2059,0.31365,0.0913715491824452,0.31365,0.0945044178861496,0.31365,0.0945044178861496,2.531285465688129,0.7626898116962468,0.0,0.003132868703704411
MiaPaCa2,1',60,1.0,Treat:1min,72,0.81985,0.8963,0.7565999999999999,0.4666166666666667,0.6454333333333333,0.2082220332998288,0.7348416666666666,0.1877172393373726,0.7348416666666666,0.1877172393373726,5.9304767429152685,1.514955904969843,0.08940833333333331,0.02050479396245619
MiaPaCa2,2',120,2.0,Treat:2min,0,0.06895,0.0774,0.1304,0.2188875,0.142905,0.0689207514010418,0.123909375,0.0689120872433071,0.123909375,0.0689120872433071,1.0,0.5561490988337815,0.018995625000000002,8.664157734705746e-06
MiaPaCa2,2',120,2.0,Treat:2min,24,0.1451,0.2679,0.18245,0.1404,0.1839625,0.0553517824593622,0.1839625,0.0590360818341913,0.1839625,0.0590360818341913,1.4846536026834127,0.476445642907902,0.0,0.0036842993748290934
MiaPaCa2,2',120,2.0,Treat:2min,48,0.2035,0.39075,0.2804,0.1703,0.2612375,0.090874166335339,0.2612375,0.0978841779434586,0.2612375,0.0978841779434586,2.1082948727648736,0.7899658758141472,0.0,0.007010011608119607
MiaPaCa2,2',120,2.0,Treat:2min,72,0.6447499999999999,0.73885,0.6009500000000001,0.35075,0.5061333333333333,0.1737035056606164,0.583825,0.1656923127365901,0.583825,0.1656923127365901,4.711709666843207,1.3372056209353822,0.07769166666666671,0.0080111929240263
