cell_line,exposure_label_raw,exposure_seconds,exposure_minutes,exposure_label,time_h,n1,n2,n3,n4,mean_sheet,sd_sheet,mean_recomputed,sd_recomputed,mean_used,sd_used,mean_t0_normalized,sd_t0_normalized
EGI1,4',240,4.0,Treat:4min,72,0.5353499975,0.59875,0.85165,0.40245001,0.5847100009999999,0.19570355806980164,0.597050001875,0.1884145221017567,0.597050001875,0.1884145221017567,3.3914865019348883,1.0702710099151869
EGI1,5',300,5.0,Treat:5min,0,0.121175,0.1879,0.25680000000000003,0.13829999999999998,0.17604375000000003,0.05561023364397503,0.17604375,0.06082026243709138,0.17604375,0.06082026243709138,1.0,0.3454837927338595
EGI1,5',300,5.0,Treat:5min,24,0.0902,0.25039999999999996,0.17515,0.10414999999999999,0.154975,0.07833781813402767,0.15497499999999997,0.07369292706902066,0.15497499999999997,0.07369292706902066,0.8803209429474206,0.41860575606359585
EGI1,5',300,5.0,Treat:5min,48,0.0689,0.1615,0.2762,0.1424,0.16225,0.12107533037328454,0.16225,0.08581649025682651,0.16225,0.08581649025682651,0.9216458976816843,0.4874725189438791
EGI1,5',300,5.0,Treat:5min,72,0.07644999999999999,0.11132500000000001,0.120749995,0.13795000000000002,0.15618571357142857,0.11462623661977328,0.11161874875,0.02590779565714742,0.11161874875,0.02590779565714742,0.6340398267476124,0.1471668017589231
HuCCT1,"0""",0,0.0,Control,0,0.13105,0.14552500000000002,0.20845,0.18735000000000002,0.17194500000000001,0.0677004545969344,0.16809375000000001,0.03596766125632858,0.16809375000000001,0.03596766125632858,1.0,0.21397381673220198
HuCCT1,"0""",0,0.0,Control,24,0.232875,0.41957500000000003,0.48187499999999994,0.41112499999999996,0.391315,0.1555808074856751,0.3863625,0.10707832316424581,0.3863625,0.10707832316424581,2.2984941438929165,0.6370154938196442
HuCCT1,"0""",0,0.0,Control,48,0.618225,1.0410499999999998,1.07215,0.9401375000000001,0.9223399999999998,0.31855904005380314,0.917890625,0.20757215346290828,0.917890625,0.20757215346290828,5.460587469789923,1.2348594368494263
HuCCT1,"0""",0,0.0,Control,72,1.6787750125,2.09125,2.2913500075,1.633575,1.8592958366666668,0.2984852101617524,1.923737505,0.3201043007183363,1.923737505,0.3201043007183363,11.444432080312325,1.904320063764038
HuCCT1,"15""",15,0.25,Treat:15s,0,0.13105,0.14552500000000002,0.20845,0.18735000000000002,0.17194500000000001,0.0677004545969344,0.16809375000000001,0.03596766125632858,0.16809375000000001,0.03596766125632858,1.0,0.21397381673220198
HuCCT1,"15""",15,0.25,Treat:15s,24,0.18564999999999998,0.3622,0.3825,0.42715,0.35692999999999997,0.15315192384615273,0.339375,0.10601347791672529,0.339375,0.10601347791672529,2.018962632459565,0.6306806643121786
HuCCT1,"15""",15,0.25,Treat:15s,48,0.4849,0.9502,0.87165,0.835475,0.7955400000000001,0.2668620011666453,0.78555625,0.2060790790519908,0.78555625,0.2060790790519908,4.673322178843651,1.2259770458567958
HuCCT1,"15""",15,0.25,Treat:15s,72,1.3083500300000002,1.806199965,1.3834499999999998,1.6132,1.544879999,0.20030182406159108,1.52779999875,0.22641769096443715,1.52779999875,0.22641769096443715,9.088975638594533,1.3469726921104272
HuCCT1,"30""",30,0.5,Treat:30s,0,0.13105,0.14552500000000002,0.20845,0.18735000000000002,0.17194500000000001,0.0677004545969344,0.16809375000000001,0.03596766125632858,0.16809375000000001,0.03596766125632858,1.0,0.21397381673220198
HuCCT1,"30""",30,0.5,Treat:30s,24,0.1916,0.3496,0.36985,0.372325,0.33114,0.12144346146801549,0.32084375,0.08676174362154095,0.32084375,0.08676174362154095,1.9087190927681723,0.516150919481188
HuCCT1,"30""",30,0.5,Treat:30s,48,0.34140000000000004,0.83355,0.7475499999999999,0.669875,0.65245,0.24352909477103535,0.64809375,0.21511318374966387,0.64809375,0.21511318374966387,3.8555493586168432,1.2797214872632912
HuCCT1,"30""",30,0.5,Treat:30s,72,1.011400015,1.1065500350000002,1.458649995,1.1182833333333333,1.1552416741666665,0.16489624462044258,1.1737208445833334,0.19588934613488582,1.1737208445833334,0.19588934613488582,6.982537093635743,1.165357701490304
HuCCT1,1',60,1.0,Treat:1min,0,0.13105,0.14552500000000002,0.20845,0.18735000000000002,0.17194500000000001,0.0677004545969344,0.16809375000000001,0.03596766125632858,0.16809375000000001,0.03596766125632858,1.0,0.21397381673220198
HuCCT1,1',60,1.0,Treat:1min,24,0.14995,0.33405,0.33465,0.37055,0.31195000000000006,0.12980214002687143,0.2973,0.09970484775910682,0.2973,0.09970484775910682,1.7686558839933073,0.5931502376448072
HuCCT1,1',60,1.0,Treat:1min,48,0.26215,0.6346499999999999,0.6757500000000001,0.555925,0.53688,0.20122612791473085,0.53211875,0.18671944794151288,0.53211875,0.18671944794151288,3.165606990146867,1.110805416272246
