current_time, N_vessels, N_cells, tumor_volume_mm3, N_cells_pheno_0, N_cells_pheno_2, N_cells_pheno_2_Ap, N_cells_pheno_2_G1, N_cells_pheno_2_Sy, N_cells_pheno_2_G2, N_cells_pheno_2_Di, N_cells_pheno_2_Tr, N_cells_pheno_2_G0, N_cell_protrusions
0,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
1,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
2,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
3,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
4,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
5,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
6,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
7,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
8,0,1118,0.470595,0,1118,0,0,1118,0,0,0,0,0
9,0,1118,0.470595,0,1118,0,0,1118,0,0,0,0,0
10,0,1118,0.470595,0,1118,0,0,1118,0,0,0,0,0
11,0,1118,0.470595,0,1118,0,0,1118,0,0,0,0,0
12,0,1118,0.470595,0,1118,0,0,1118,0,0,0,0,0
13,0,1118,0.470595,0,1118,0,0,1118,0,0,0,0,0
14,0,1118,0.470594,0,1118,0,0,1118,0,0,0,0,0
15,0,1118,0.470594,0,1118,0,0,1118,0,0,0,0,0
16,0,1118,0.470594,0,1118,0,0,0,1118,0,0,0,0
17,0,1118,0.470594,0,1118,0,0,0,1118,0,0,0,0
18,0,1118,0.470594,0,1118,0,0,0,1118,0,0,0,0
19,0,1118,0.470594,0,1118,0,0,0,1118,0,0,0,0
20,0,1569,0.48075,0,1569,0,902,0,0,667,0,0,0
21,0,1840,0.473837,0,1840,0,1444,0,0,396,0,0,0
22,0,2005,0.482723,0,2005,0,1774,0,0,231,0,0,0
23,0,2103,0.473276,0,2103,0,1970,0,0,133,0,0,0
24,0,2151,0.470542,0,2151,0,2066,0,0,85,0,0,0
25,0,2187,0.472222,0,2187,0,2138,0,0,49,0,0,0
26,0,2206,0.472102,0,2206,0,2176,0,0,30,0,0,0
27,0,2214,0.472737,0,2214,0,2192,0,0,22,0,0,0
28,0,2220,0.470542,0,2220,0,1753,451,0,16,0,0,0
29,0,2222,0.470542,0,2222,0,1035,1173,0,14,0,0,0
30,0,2225,0.470541,0,2225,0,605,1609,0,11,0,0,0
31,0,2226,0.470541,0,2226,0,344,1872,0,10,0,0,0
32,0,2227,0.470541,0,2227,0,200,2018,0,9,0,0,0
33,0,2228,0.470541,0,2228,0,118,2102,0,8,0,0,0
34,0,2228,0.470541,0,2228,0,63,2157,0,8,0,0,0
35,0,2228,0.470541,0,2228,0,36,2184,0,8,0,0,0
36,0,2228,0.470541,0,2228,0,22,1747,451,8,0,0,0
37,0,2228,0.470541,0,2228,0,14,1033,1173,8,0,0,0
38,0,2229,0.470541,0,2229,0,11,602,1609,7,0,0,0
39,0,2229,0.470541,0,2229,0,7,343,1872,7,0,0,0
40,0,2429,0.482467,0,2429,0,405,199,1567,258,0,0,0
41,0,2807,0.474806,0,2807,0,1159,117,929,602,0,0,0
42,0,3234,0.472784,0,3234,0,2012,63,548,611,0,0,0
43,0,3583,0.473664,0,3583,0,2710,36,312,525,0,0,0
44,0,3857,0.475234,0,3857,0,3258,22,180,397,0,0,0
45,0,4061,0.477979,0,4061,0,3666,14,104,277,0,0,0
46,0,4200,0.473733,0,4200,0,3943,10,54,193,0,0,0
47,0,4281,0.473469,0,4281,0,4104,7,31,139,0,0,0
48,0,4346,0.472141,0,4346,0,4034,205,19,88,0,0,0
49,0,4388,0.470513,0,4388,0,3540,781,13,54,0,0,0
50,0,4408,0.4736,0,4408,0,2775,1585,9,39,0,0,0
51,0,4421,0.47359,0,4421,0,2025,2361,5,30,0,0,0
52,0,4431,0.470514,0,4431,0,1422,2984,3,22,0,0,0
53,0,4436,0.470513,0,4436,0,954,3462,1,19,0,0,0
54,0,4443,0.470513,0,4443,0,625,3804,1,13,0,0,0
55,0,4445,0.470513,0,4445,0,409,4023,2,11,0,0,0
56,0,4445,0.470513,0,4445,0,263,3969,202,11,0,0,0
57,0,4446,0.470513,0,4446,0,158,3498,780,10,0,0,0
58,0,4449,0.470513,0,4449,0,102,2755,1584,8,0,0,0
59,0,4450,0.470513,0,4450,0,71,2012,2359,8,0,0,0
60,0,4531,0.470513,0,4531,0,210,1412,2782,127,0,0,0
61,0,4823,0.476821,0,4823,0,779,949,2682,413,0,0,0
62,0,5306,0.477919,0,5306,0,1733,618,2220,735,0,0,0
63,0,5932,0.470534,0,5932,0,2976,407,1664,885,0,0,0
64,0,6555,0.482112,0,6555,0,4220,263,1187,885,0,0,0
65,0,7086,0.476559,0,7086,0,5281,157,816,832,0,0,0
66,0,7548,0.477586,0,7548,0,6201,99,535,713,0,0,0
67,0,7949,0.480378,0,7949,0,6999,70,348,532,0,0,0
68,0,8257,0.477813,0,8257,0,7533,129,225,370,0,0,0
69,0,8469,0.476524,0,8469,0,7584,487,133,265,0,0,0
70,0,8604,0.470617,0,8604,0,7079,1250,83,192,0,0,0
71,0,8698,0.474905,0,8698,0,6158,2350,59,131,0,0,0
72,0,8762,0.471046,0,8762,0,5037,3597,38,90,0,0,0
