current_time, N_vessels, N_cells, tumor_volume_mm3, N_cells_pheno_0, N_cells_pheno_2, N_cells_pheno_2_Ap, N_cells_pheno_2_G1, N_cells_pheno_2_Sy, N_cells_pheno_2_G2, N_cells_pheno_2_Di, N_cells_pheno_2_Tr, N_cells_pheno_2_G0, N_cell_protrusions
0,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
1,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
2,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
3,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
4,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
5,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
6,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
7,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
8,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
9,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
10,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
11,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
12,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
13,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
14,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
15,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
16,0,1118,0.470596,0,1118,0,0,0,1118,0,0,0,0
17,0,1118,0.470596,0,1118,0,0,0,1118,0,0,0,0
18,0,1118,0.470596,0,1118,0,0,0,1118,0,0,0,0
19,0,1118,0.470596,0,1118,0,0,0,1118,0,0,0,0
20,0,1202,0.470596,0,1202,0,168,0,0,1034,0,0,0
21,0,1270,0.474282,0,1270,0,304,0,0,966,0,0,0
22,0,1329,0.471269,0,1329,0,422,0,0,907,0,0,0
23,0,1391,0.470596,0,1391,0,546,0,0,845,0,0,0
24,0,1449,0.470596,0,1449,0,662,0,0,787,0,0,0
25,0,1497,0.474543,0,1497,0,758,0,0,739,0,0,0
26,0,1549,0.470596,0,1549,0,862,0,0,687,0,0,0
27,0,1581,0.470596,0,1581,0,926,0,0,655,0,0,0
28,0,1639,0.470596,0,1639,0,958,84,0,597,0,0,0
29,0,1675,0.472056,0,1675,0,878,236,0,561,0,0,0
30,0,1701,0.474425,0,1701,0,803,363,0,535,0,0,0
31,0,1738,0.47058,0,1738,0,756,484,0,498,0,0,0
32,0,1773,0.47058,0,1773,0,706,604,0,463,0,0,0
33,0,1799,0.472183,0,1799,0,652,710,0,437,0,0,0
34,0,1822,0.47058,0,1822,0,598,810,0,414,0,0,0
35,0,1840,0.47058,0,1840,0,550,894,0,396,0,0,0
36,0,1865,0.47058,0,1865,0,510,900,84,371,0,0,0
37,0,1889,0.47058,0,1889,0,464,842,236,347,0,0,0
38,0,1914,0.47058,0,1914,0,452,777,363,322,0,0,0
39,0,1950,0.47058,0,1950,0,461,719,484,286,0,0,0
40,0,1974,0.47058,0,1974,0,437,671,520,346,0,0,0
41,0,2011,0.474274,0,2011,0,450,626,474,461,0,0,0
42,0,2057,0.47058,0,2057,0,493,575,447,542,0,0,0
43,0,2100,0.47058,0,2100,0,538,532,410,620,0,0,0
44,0,2151,0.472911,0,2151,0,597,485,380,689,0,0,0
45,0,2217,0.470564,0,2217,0,680,440,368,729,0,0,0
46,0,2286,0.470564,0,2286,0,769,427,330,760,0,0,0
47,0,2346,0.472067,0,2346,0,828,425,309,784,0,0,0
48,0,2402,0.474548,0,2402,0,880,413,291,818,0,0,0
49,0,2465,0.472917,0,2465,0,945,413,258,849,0,0,0
50,0,2525,0.470573,0,2525,0,982,447,245,851,0,0,0
51,0,2583,0.472912,0,2583,0,1009,495,223,856,0,0,0
52,0,2638,0.474959,0,2638,0,1025,546,194,873,0,0,0
53,0,2698,0.470555,0,2698,0,1028,614,182,874,0,0,0
54,0,2776,0.470555,0,2776,0,1049,700,182,845,0,0,0
55,0,2830,0.472731,0,2830,0,1028,768,202,832,0,0,0
56,0,2903,0.472556,0,2903,0,1058,824,219,802,0,0,0
57,0,2962,0.470555,0,2962,0,1057,882,231,792,0,0,0
58,0,3019,0.470555,0,3019,0,1048,922,265,784,0,0,0
59,0,3088,0.470555,0,3088,0,1068,951,293,776,0,0,0
60,0,3143,0.473597,0,3143,0,1065,970,327,781,0,0,0
61,0,3192,0.470554,0,3192,0,1048,968,383,793,0,0,0
62,0,3254,0.470554,0,3254,0,1034,971,435,814,0,0,0
63,0,3317,0.470554,0,3317,0,1028,974,475,840,0,0,0
64,0,3376,0.474373,0,3376,0,1019,985,497,875,0,0,0
65,0,3458,0.472555,0,3458,0,1051,998,499,910,0,0,0
66,0,3530,0.470555,0,3530,0,1079,991,487,973,0,0,0
67,0,3601,0.4713,0,3601,0,1095,999,476,1031,0,0,0
68,0,3691,0.471958,0,3691,0,1151,1010,473,1057,0,0,0
69,0,3761,0.472521,0,3761,0,1187,999,469,1106,0,0,0
70,0,3847,0.470555,0,3847,0,1248,972,484,1143,0,0,0
71,0,3925,0.470555,0,3925,0,1279,965,498,1183,0,0,0
72,0,4025,0.470833,0,4025,0,1357,960,512,1196,0,0,0
