current_time, N_vessels, N_cells, tumor_volume_mm3, N_cells_pheno_0, N_cells_pheno_2, N_cells_pheno_2_Ap, N_cells_pheno_2_G1, N_cells_pheno_2_Sy, N_cells_pheno_2_G2, N_cells_pheno_2_Di, N_cells_pheno_2_Tr, N_cells_pheno_2_G0, N_cell_protrusions
0,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
1,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
2,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
3,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
4,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
5,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
6,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
7,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
8,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
9,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
10,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
11,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
12,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
13,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
14,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
15,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
16,0,1118,0.470596,0,1118,0,0,0,1118,0,0,0,0
17,0,1118,0.470596,0,1118,0,0,0,1118,0,0,0,0
18,0,1118,0.470596,0,1118,0,0,0,1118,0,0,0,0
19,0,1118,0.470596,0,1118,0,0,0,1118,0,0,0,0
20,0,1749,0.480926,0,1749,0,1262,0,0,487,0,0,0
21,0,2000,0.476682,0,2000,0,1764,0,0,236,0,0,0
22,0,2127,0.475791,0,2127,0,2018,0,0,109,0,0,0
23,0,2194,0.473699,0,2194,0,2152,0,0,42,0,0,0
24,0,2212,0.47055,0,2212,0,2188,0,0,24,0,0,0
25,0,2226,0.472205,0,2226,0,2216,0,0,10,0,0,0
26,0,2229,0.470546,0,2229,0,2222,0,0,7,0,0,0
27,0,2232,0.470546,0,2232,0,2228,0,0,4,0,0,0
28,0,2232,0.470545,0,2232,0,1597,631,0,4,0,0,0
29,0,2232,0.470545,0,2232,0,715,1513,0,4,0,0,0
30,0,2232,0.470545,0,2232,0,337,1891,0,4,0,0,0
31,0,2232,0.470545,0,2232,0,143,2085,0,4,0,0,0
32,0,2232,0.470545,0,2232,0,58,2170,0,4,0,0,0
33,0,2232,0.470545,0,2232,0,26,2202,0,4,0,0,0
34,0,2233,0.470545,0,2233,0,11,2219,0,3,0,0,0
35,0,2233,0.470545,0,2233,0,5,2225,0,3,0,0,0
36,0,2233,0.470545,0,2233,0,2,1597,631,3,0,0,0
37,0,2233,0.470545,0,2233,0,2,715,1513,3,0,0,0
38,0,2233,0.470545,0,2233,0,2,337,1891,3,0,0,0
39,0,2233,0.470545,0,2233,0,2,143,2085,3,0,0,0
40,0,2583,0.473064,0,2583,0,702,58,1539,284,0,0,0
41,0,3242,0.477968,0,3242,0,2020,26,689,507,0,0,0
42,0,3742,0.472129,0,3742,0,3019,10,328,385,0,0,0
43,0,4054,0.478223,0,4054,0,3642,5,140,267,0,0,0
44,0,4234,0.473445,0,4234,0,4002,2,58,172,0,0,0
45,0,4329,0.478082,0,4329,0,4192,2,26,109,0,0,0
46,0,4394,0.471963,0,4394,0,4322,2,9,61,0,0,0
47,0,4427,0.47058,0,4427,0,4388,2,3,34,0,0,0
48,0,4444,0.47058,0,4444,0,4072,352,0,20,0,0,0
49,0,4456,0.47058,0,4456,0,3087,1361,0,8,0,0,0
50,0,4460,0.470576,0,4460,0,1936,2519,1,4,0,0,0
51,0,4460,0.470577,0,4460,0,1124,3330,2,4,0,0,0
52,0,4461,0.470577,0,4461,0,634,3822,2,3,0,0,0
53,0,4461,0.470577,0,4461,0,359,4097,2,3,0,0,0
54,0,4462,0.470577,0,4462,0,201,4257,1,3,0,0,0
55,0,4463,0.470577,0,4463,0,105,4355,0,3,0,0,0
56,0,4463,0.470577,0,4463,0,55,4055,350,3,0,0,0
57,0,4463,0.470577,0,4463,0,26,3075,1359,3,0,0,0
58,0,4463,0.470577,0,4463,0,10,1932,2518,3,0,0,0
59,0,4463,0.470577,0,4463,0,6,1124,3330,3,0,0,0
60,0,4652,0.471763,0,4652,0,383,633,3472,164,0,0,0
61,0,5276,0.473136,0,5276,0,1630,359,2738,549,0,0,0
62,0,6179,0.47276,0,6179,0,3435,200,1739,805,0,0,0
63,0,7045,0.475083,0,7045,0,5165,104,1025,751,0,0,0
64,0,7709,0.477308,0,7709,0,6492,55,583,579,0,0,0
65,0,8207,0.475502,0,8207,0,7488,26,337,356,0,0,0
66,0,8488,0.476533,0,8488,0,8050,10,193,235,0,0,0
67,0,8653,0.472501,0,8653,0,8380,6,99,168,0,0,0
68,0,8757,0.471649,0,8757,0,8399,194,50,114,0,0,0
69,0,8823,0.47059,0,8823,0,7718,1006,22,77,0,0,0
70,0,8865,0.470592,0,8865,0,6275,2532,7,51,0,0,0
71,0,8891,0.470593,0,8891,0,4558,4299,5,29,0,0,0
72,0,8909,0.470592,0,8909,0,3064,5828,5,12,0,0,0
