current_time, N_vessels, N_cells, tumor_volume_mm3, N_cells_pheno_0, N_cells_pheno_2, N_cells_pheno_2_Ap, N_cells_pheno_2_G1, N_cells_pheno_2_Sy, N_cells_pheno_2_G2, N_cells_pheno_2_Di, N_cells_pheno_2_Tr, N_cells_pheno_2_G0, N_cell_protrusions
0,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
1,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
2,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
3,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
4,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
5,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
6,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
7,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
8,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
9,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
10,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
11,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
12,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
13,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
14,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
15,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
16,0,1118,0.470596,0,1118,0,0,0,1118,0,0,0,0
17,0,1118,0.470596,0,1118,0,0,0,1118,0,0,0,0
18,0,1118,0.470596,0,1118,0,0,0,1118,0,0,0,0
19,0,1118,0.470596,0,1118,0,0,0,1118,0,0,0,0
20,0,1629,0.473811,0,1629,0,1022,0,0,607,0,0,0
21,0,1848,0.474256,0,1848,0,1460,0,0,388,0,0,0
22,0,1949,0.470596,0,1949,0,1662,0,0,287,0,0,0
23,0,1995,0.471873,0,1995,0,1754,0,0,241,0,0,0
24,0,2015,0.470596,0,2015,0,1794,0,0,221,0,0,0
25,0,2026,0.470596,0,2026,0,1816,0,0,210,0,0,0
26,0,2030,0.470596,0,2030,0,1824,0,0,206,0,0,0
27,0,2034,0.470596,0,2034,0,1832,0,0,202,0,0,0
28,0,2035,0.470596,0,2035,0,1323,511,0,201,0,0,0
29,0,2035,0.470596,0,2035,0,593,1241,0,201,0,0,0
30,0,2035,0.470596,0,2035,0,273,1561,0,201,0,0,0
31,0,2035,0.470596,0,2035,0,126,1708,0,201,0,0,0
32,0,2035,0.470596,0,2035,0,60,1774,0,201,0,0,0
33,0,2035,0.470596,0,2035,0,29,1805,0,201,0,0,0
34,0,2035,0.470596,0,2035,0,14,1820,0,201,0,0,0
35,0,2035,0.470596,0,2035,0,6,1828,0,201,0,0,0
36,0,2035,0.470596,0,2035,0,1,1322,511,201,0,0,0
37,0,2035,0.470596,0,2035,0,0,593,1241,201,0,0,0
38,0,2035,0.470596,0,2035,0,0,273,1561,201,0,0,0
39,0,2035,0.470596,0,2035,0,0,126,1708,201,0,0,0
40,0,2231,0.470596,0,2231,0,392,60,1263,516,0,0,0
41,0,2640,0.473359,0,2640,0,1210,29,564,837,0,0,0
42,0,2941,0.470692,0,2941,0,1812,14,259,856,0,0,0
43,0,3133,0.473193,0,3133,0,2196,6,120,811,0,0,0
44,0,3236,0.47096,0,3236,0,2402,1,59,774,0,0,0
45,0,3292,0.475276,0,3292,0,2514,0,29,749,0,0,0
46,0,3332,0.471623,0,3332,0,2594,0,14,724,0,0,0
47,0,3346,0.470582,0,3346,0,2622,0,6,718,0,0,0
48,0,3357,0.470582,0,3357,0,2448,196,1,712,0,0,0
49,0,3362,0.470581,0,3362,0,1853,801,0,708,0,0,0
50,0,3363,0.470581,0,3363,0,1145,1511,0,707,0,0,0
51,0,3364,0.470581,0,3364,0,654,2004,0,706,0,0,0
52,0,3364,0.470581,0,3364,0,359,2299,0,706,0,0,0
53,0,3364,0.470581,0,3364,0,200,2458,0,706,0,0,0
54,0,3364,0.470581,0,3364,0,104,2554,0,706,0,0,0
55,0,3364,0.470581,0,3364,0,50,2608,0,706,0,0,0
56,0,3364,0.470581,0,3364,0,25,2437,196,706,0,0,0
57,0,3364,0.470581,0,3364,0,9,1848,801,706,0,0,0
58,0,3364,0.470581,0,3364,0,3,1144,1511,706,0,0,0
59,0,3364,0.470581,0,3364,0,1,653,2004,706,0,0,0
60,0,3423,0.470581,0,3423,0,118,359,2103,843,0,0,0
61,0,3641,0.472682,0,3641,0,554,200,1657,1230,0,0,0
62,0,3973,0.470581,0,3973,0,1218,104,1043,1608,0,0,0
63,0,4295,0.474558,0,4295,0,1862,50,604,1779,0,0,0
64,0,4535,0.471035,0,4535,0,2342,25,334,1834,0,0,0
65,0,4693,0.47438,0,4693,0,2658,9,191,1835,0,0,0
66,0,4808,0.473441,0,4808,0,2888,3,101,1816,0,0,0
67,0,4884,0.470565,0,4884,0,3040,1,49,1794,0,0,0
68,0,4919,0.470569,0,4919,0,3051,59,25,1784,0,0,0
69,0,4935,0.470569,0,4935,0,2806,336,9,1784,0,0,0
70,0,4949,0.470569,0,4949,0,2284,886,3,1776,0,0,0
71,0,4954,0.470569,0,4954,0,1640,1540,1,1773,0,0,0
72,0,4957,0.470569,0,4957,0,1084,2102,0,1771,0,0,0
