eval,stage_eval,chi2,stage,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
1,1,52.227260605179744,optuna,0.18960425587510335,3.102983825640553,0.4333504616170433,19.424303004565232,26.699637121782054,7.269629921500758,6.252820847718837,9.820593952885211,28.78604125682745,0.0004379663173710474,1.4312690798314667,0.0007131254595513274,1306.2414870429664
1,2,54.56572108225266,optuna,0.18960425587510335,3.102983825640553,0.4333504616170433,19.424303004565232,26.699637121782054,7.269629921500758,6.252820847718837,9.820593952885211,28.78604125682745,0.0004379663173710474,1.4312690798314667,0.0007131254595513274,1306.2414870429664
1,3,54.466384932096936,optuna,0.18960425587510335,3.102983825640553,0.4333504616170433,19.424303004565232,26.699637121782054,7.269629921500758,6.252820847718837,9.820593952885211,28.78604125682745,0.0004379663173710474,1.4312690798314667,0.0007131254595513274,1306.2414870429664
2,4,126.82604034405549,optuna,0.7055750067130712,0.772394367539079,0.5555842242049687,16.036997983693716,15.206526743860234,18.775012297084604,17.770182622086214,5.013745822915095,18.846489174571317,3.769062082148827e-05,1.475296024007898,0.02829158292470621,1140.0789230503453
2,5,126.82604034405549,optuna,0.7055750067130712,0.772394367539079,0.5555842242049687,16.036997983693716,15.206526743860234,18.775012297084604,17.770182622086214,5.013745822915095,18.846489174571317,3.769062082148827e-05,1.475296024007898,0.02829158292470621,1140.0789230503453
2,6,126.82604034405547,optuna,0.7055750067130712,0.772394367539079,0.5555842242049687,16.036997983693716,15.206526743860234,18.775012297084604,17.770182622086214,5.013745822915095,18.846489174571317,3.769062082148827e-05,1.475296024007898,0.02829158292470621,1140.0789230503453
3,7,62.74710937571911,optuna,0.39323055194889267,7.786236050221234,0.3136677609471825,16.81718383151283,28.036910843418386,11.031988749600625,16.240805199523024,2.5814350696602104,21.423568162431728,0.00035229065409478626,0.8751684226963543,0.026366811612862952,469.4566500008795
3,8,59.9083036998297,optuna,0.39323055194889267,7.786236050221234,0.3136677609471825,16.81718383151283,28.036910843418386,11.031988749600625,16.240805199523024,2.5814350696602104,21.423568162431728,0.00035229065409478626,0.8751684226963543,0.026366811612862952,469.4566500008795
3,9,60.70423462450689,optuna,0.39323055194889267,7.786236050221234,0.3136677609471825,16.81718383151283,28.036910843418386,11.031988749600625,16.240805199523024,2.5814350696602104,21.423568162431728,0.00035229065409478626,0.8751684226963543,0.026366811612862952,469.4566500008795
4,10,30.254603029635557,optuna,0.9002227993827477,0.13912940511491861,0.1824442129756755,10.568263345618181,25.123214153734953,14.676369938492323,11.132893096976261,1.4765646896428384,17.28155932183854,0.00016483422281045752,2.0118673324504734,2.593544621534654e-05,945.2859444342627
