current_time, N_vessels, N_cells, tumor_volume_mm3, N_cells_pheno_0, N_cells_pheno_2, N_cells_pheno_2_Ap, N_cells_pheno_2_G1, N_cells_pheno_2_Sy, N_cells_pheno_2_G2, N_cells_pheno_2_Di, N_cells_pheno_2_Tr, N_cells_pheno_2_G0, N_cell_protrusions
0,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
1,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
2,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
3,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
4,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
5,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
6,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
7,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
8,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
9,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
10,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
11,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
12,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
13,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
14,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
15,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
16,0,1118,0.470596,0,1118,0,0,0,1118,0,0,0,0
17,0,1118,0.470596,0,1118,0,0,0,1118,0,0,0,0
18,0,1118,0.470596,0,1118,0,0,0,1118,0,0,0,0
19,0,1118,0.470596,0,1118,0,0,0,1118,0,0,0,0
20,0,1942,0.481963,0,1942,0,1648,0,0,294,0,0,0
21,0,2159,0.476621,0,2159,0,2082,0,0,77,0,0,0
22,0,2217,0.479438,0,2217,0,2198,0,0,19,0,0,0
23,0,2231,0.470514,0,2231,0,2226,0,0,5,0,0,0
24,0,2236,0.470514,0,2236,0,2236,0,0,0,0,0,0
25,0,2236,0.470514,0,2236,0,2236,0,0,0,0,0,0
26,0,2236,0.470514,0,2236,0,2236,0,0,0,0,0,0
27,0,2236,0.470514,0,2236,0,2236,0,0,0,0,0,0
28,0,2236,0.470514,0,2236,0,1412,824,0,0,0,0,0
29,0,2236,0.470514,0,2236,0,371,1865,0,0,0,0,0
30,0,2236,0.470514,0,2236,0,96,2140,0,0,0,0,0
31,0,2236,0.470514,0,2236,0,24,2212,0,0,0,0,0
32,0,2236,0.470514,0,2236,0,5,2231,0,0,0,0,0
33,0,2236,0.470514,0,2236,0,0,2236,0,0,0,0,0
34,0,2236,0.470514,0,2236,0,0,2236,0,0,0,0,0
35,0,2236,0.470514,0,2236,0,0,2236,0,0,0,0,0
36,0,2236,0.470514,0,2236,0,0,1412,824,0,0,0,0
37,0,2236,0.470514,0,2236,0,0,371,1865,0,0,0,0
38,0,2236,0.470514,0,2236,0,0,96,2140,0,0,0,0
39,0,2236,0.470514,0,2236,0,0,24,2212,0,0,0,0
40,0,2848,0.473298,0,2848,0,1224,5,1407,212,0,0,0
41,0,3766,0.486471,0,3766,0,3060,0,371,335,0,0,0
42,0,4215,0.482451,0,4215,0,3958,0,96,161,0,0,0
43,0,4401,0.481515,0,4401,0,4330,0,24,47,0,0,0
44,0,4442,0.470583,0,4442,0,4412,0,5,25,0,0,0
45,0,4467,0.47193,0,4467,0,4462,0,0,5,0,0,0
46,0,4472,0.470583,0,4472,0,4472,0,0,0,0,0,0
47,0,4472,0.470583,0,4472,0,4472,0,0,0,0,0,0
48,0,4472,0.470583,0,4472,0,3860,612,0,0,0,0,0
49,0,4472,0.470583,0,4472,0,2330,2142,0,0,0,0,0
50,0,4472,0.470583,0,4472,0,963,3509,0,0,0,0,0
51,0,4472,0.470583,0,4472,0,328,4144,0,0,0,0,0
52,0,4472,0.470583,0,4472,0,101,4371,0,0,0,0,0
53,0,4472,0.470583,0,4472,0,35,4437,0,0,0,0,0
54,0,4472,0.470583,0,4472,0,5,4467,0,0,0,0,0
55,0,4472,0.470583,0,4472,0,0,4472,0,0,0,0,0
56,0,4472,0.470583,0,4472,0,0,3860,612,0,0,0,0
57,0,4472,0.470583,0,4472,0,0,2330,2142,0,0,0,0
58,0,4472,0.470583,0,4472,0,0,963,3509,0,0,0,0
59,0,4472,0.470583,0,4472,0,0,328,4144,0,0,0,0
60,0,4949,0.478517,0,4949,0,954,101,3759,135,0,0,0
61,0,6192,0.481127,0,6192,0,3440,35,2295,422,0,0,0
62,0,7544,0.486256,0,7544,0,6144,5,958,437,0,0,0
63,0,8357,0.489522,0,8357,0,7770,0,328,259,0,0,0
64,0,8742,0.474202,0,8742,0,8540,0,101,101,0,0,0
65,0,8873,0.47058,0,8873,0,8802,0,35,36,0,0,0
66,0,8923,0.470579,0,8923,0,8902,0,5,16,0,0,0
67,0,8939,0.470578,0,8939,0,8934,0,0,5,0,0,0
68,0,8944,0.470578,0,8944,0,8467,477,0,0,0,0,0
69,0,8944,0.470577,0,8944,0,6747,2197,0,0,0,0,0
70,0,8944,0.470577,0,8944,0,4152,4792,0,0,0,0,0
71,0,8944,0.470578,0,8944,0,1987,6957,0,0,0,0,0
72,0,8944,0.470578,0,8944,0,789,8155,0,0,0,0,0
