current_time, N_vessels, N_cells, tumor_volume_mm3, N_cells_pheno_0, N_cells_pheno_2, N_cells_pheno_2_Ap, N_cells_pheno_2_G1, N_cells_pheno_2_Sy, N_cells_pheno_2_G2, N_cells_pheno_2_Di, N_cells_pheno_2_Tr, N_cells_pheno_2_G0, N_cell_protrusions
0,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
1,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
2,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
3,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
4,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
5,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
6,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
7,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
8,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
9,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
10,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
11,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
12,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
13,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
14,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
15,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
16,0,1118,0.470596,0,1118,0,0,0,1118,0,0,0,0
17,0,1118,0.470596,0,1118,0,0,0,1118,0,0,0,0
18,0,1118,0.470596,0,1118,0,0,0,1118,0,0,0,0
19,0,1118,0.470596,0,1118,0,0,0,1118,0,0,0,0
20,0,1328,0.471078,0,1328,0,420,0,0,908,0,0,0
21,0,1445,0.470596,0,1445,0,654,0,0,791,0,0,0
22,0,1507,0.470596,0,1507,0,778,0,0,729,0,0,0
23,0,1537,0.470596,0,1537,0,838,0,0,699,0,0,0
24,0,1556,0.470596,0,1556,0,876,0,0,680,0,0,0
25,0,1561,0.470596,0,1561,0,886,0,0,675,0,0,0
26,0,1564,0.470596,0,1564,0,892,0,0,672,0,0,0
27,0,1566,0.470596,0,1566,0,896,0,0,670,0,0,0
28,0,1568,0.470596,0,1568,0,690,210,0,668,0,0,0
29,0,1568,0.470596,0,1568,0,363,537,0,668,0,0,0
30,0,1569,0.470596,0,1569,0,186,716,0,667,0,0,0
31,0,1570,0.470596,0,1570,0,96,808,0,666,0,0,0
32,0,1570,0.470596,0,1570,0,47,857,0,666,0,0,0
33,0,1570,0.470596,0,1570,0,23,881,0,666,0,0,0
34,0,1570,0.470596,0,1570,0,15,889,0,666,0,0,0
35,0,1570,0.470596,0,1570,0,10,894,0,666,0,0,0
36,0,1570,0.470596,0,1570,0,6,688,210,666,0,0,0
37,0,1570,0.470596,0,1570,0,4,363,537,666,0,0,0
38,0,1570,0.470596,0,1570,0,3,185,716,666,0,0,0
39,0,1570,0.470596,0,1570,0,1,95,808,666,0,0,0
40,0,1612,0.470596,0,1612,0,84,47,647,834,0,0,0
41,0,1693,0.470596,0,1693,0,246,23,344,1080,0,0,0
42,0,1780,0.470596,0,1780,0,420,15,173,1172,0,0,0
43,0,1849,0.470596,0,1849,0,558,10,86,1195,0,0,0
44,0,1896,0.470596,0,1896,0,652,6,41,1197,0,0,0
45,0,1925,0.470596,0,1925,0,710,4,19,1192,0,0,0
46,0,1941,0.470596,0,1941,0,742,3,12,1184,0,0,0
47,0,1949,0.470596,0,1949,0,758,1,9,1181,0,0,0
48,0,1959,0.470596,0,1959,0,736,42,6,1175,0,0,0
49,0,1963,0.470596,0,1963,0,621,165,4,1173,0,0,0
50,0,1966,0.470596,0,1966,0,459,333,3,1171,0,0,0
51,0,1966,0.470596,0,1966,0,303,489,1,1173,0,0,0
52,0,1966,0.470596,0,1966,0,187,605,0,1174,0,0,0
53,0,1966,0.470596,0,1966,0,111,681,0,1174,0,0,0
54,0,1966,0.470596,0,1966,0,66,726,0,1174,0,0,0
55,0,1966,0.470596,0,1966,0,42,750,0,1174,0,0,0
56,0,1966,0.470596,0,1966,0,24,726,42,1174,0,0,0
57,0,1966,0.470596,0,1966,0,10,617,165,1174,0,0,0
58,0,1966,0.470596,0,1966,0,3,456,333,1174,0,0,0
59,0,1966,0.470596,0,1966,0,0,303,489,1174,0,0,0
60,0,1974,0.470596,0,1974,0,16,187,563,1208,0,0,0
61,0,2006,0.470596,0,2006,0,80,111,516,1299,0,0,0
62,0,2055,0.470596,0,2055,0,178,66,393,1418,0,0,0
63,0,2115,0.470596,0,2115,0,298,42,261,1514,0,0,0
64,0,2159,0.470596,0,2159,0,386,24,163,1586,0,0,0
65,0,2198,0.470596,0,2198,0,464,10,101,1623,0,0,0
66,0,2226,0.470596,0,2226,0,520,3,63,1640,0,0,0
67,0,2245,0.470596,0,2245,0,558,0,42,1645,0,0,0
68,0,2260,0.470596,0,2260,0,580,8,24,1648,0,0,0
69,0,2273,0.470596,0,2273,0,566,48,10,1649,0,0,0
70,0,2279,0.470596,0,2279,0,497,129,3,1650,0,0,0
71,0,2284,0.470596,0,2284,0,398,238,0,1648,0,0,0
72,0,2285,0.470596,0,2285,0,296,342,0,1647,0,0,0
