cell_line,case_label,exposure_seconds,exposure_minutes,time_h,mean_signal,sd_signal,target_viability_pct,target_sd_pct,include_in_first_bar_chart
EGI1,3min,180.0,3.0,0.0,0.17604375000000003,0.05561023364397503,99.99999999999999,31.58887131407677,no
EGI1,3min,180.0,3.0,24.0,0.3493125,0.14063205260092723,198.4236872936415,79.88471763463752,no
EGI1,3min,180.0,3.0,48.0,0.7906374999999999,0.2857567220884756,449.114211666134,162.32142412807926,no
EGI1,3min,180.0,3.0,72.0,1.6822083325,0.44174470451153974,955.5626555898746,250.92893358130559,no
EGI1,4min,240.0,4.0,0.0,0.17604375000000003,0.05561023364397503,99.99999999999999,31.58887131407677,yes
EGI1,4min,240.0,4.0,24.0,0.2172,0.08619642901536005,123.37842155714131,48.96307254041115,yes
EGI1,4min,240.0,4.0,48.0,0.3501375,0.1558550503472697,198.89232080093726,88.5319986351516,yes
EGI1,4min,240.0,4.0,72.0,0.5847100009999999,0.19570355806980164,332.1390285085383,111.16756946486404,yes
EGI1,5min,300.0,5.0,0.0,0.17604375000000003,0.05561023364397503,99.99999999999999,31.58887131407677,yes
EGI1,5min,300.0,5.0,24.0,0.154975,0.07833781813402767,88.03209429474207,44.499062383088095,yes
EGI1,5min,300.0,5.0,48.0,0.16225,0.12107533037328454,92.16458976816841,68.77570511494132,yes
EGI1,5min,300.0,5.0,72.0,0.15618571357142857,0.11462623661977328,88.71982877632892,65.11235793362347,yes
HuCCT1,0s,0.0,0.0,0.0,0.17194500000000001,0.0677004545969344,100.0,39.37331972254755,yes
HuCCT1,0s,0.0,0.0,24.0,0.391315,0.1555808074856751,227.58149408241007,90.48289132319934,yes
HuCCT1,0s,0.0,0.0,48.0,0.9223399999999998,0.31855904005380314,536.4157143272556,185.26798688755306,yes
HuCCT1,0s,0.0,0.0,72.0,1.8592958366666668,0.2984852101617524,1081.3317262302867,173.5934224093474,yes
HuCCT1,15s,15.0,0.25,0.0,0.17194500000000001,0.0677004545969344,100.0,39.37331972254755,no
HuCCT1,15s,15.0,0.25,24.0,0.35692999999999997,0.15315192384615273,207.58382040768848,89.07029797095159,no
HuCCT1,15s,15.0,0.25,48.0,0.7955400000000001,0.2668620011666453,462.6712030009597,155.20195479173302,no
HuCCT1,15s,15.0,0.25,72.0,1.544879999,0.20030182406159108,898.4733484544475,116.49179915763243,no
HuCCT1,30s,30.0,0.5,0.0,0.17194500000000001,0.0677004545969344,100.0,39.37331972254755,yes
HuCCT1,30s,30.0,0.5,24.0,0.33114,0.12144346146801549,192.5848381749978,70.62924857833347,yes
HuCCT1,30s,30.0,0.5,48.0,0.65245,0.24352909477103535,379.45273197824883,141.63197229988387,yes
HuCCT1,30s,30.0,0.5,72.0,1.1552416741666665,0.16489624462044258,671.8669773280213,95.9005755447629,yes
