current_time, N_vessels, N_cells, tumor_volume_mm3, N_cells_pheno_0, N_cells_pheno_2, N_cells_pheno_2_Ap, N_cells_pheno_2_G1, N_cells_pheno_2_Sy, N_cells_pheno_2_G2, N_cells_pheno_2_Di, N_cells_pheno_2_Tr, N_cells_pheno_2_G0, N_cell_protrusions
0,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
1,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
2,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
3,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
4,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
5,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
6,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
7,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
8,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
9,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
10,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
11,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
12,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
13,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
14,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
15,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
16,0,1118,0.470596,0,1118,0,0,0,1118,0,0,0,0
17,0,1118,0.470596,0,1118,0,0,0,1118,0,0,0,0
18,0,1118,0.470596,0,1118,0,0,0,1118,0,0,0,0
19,0,1118,0.470596,0,1118,0,0,0,1118,0,0,0,0
20,0,1442,0.470596,0,1442,0,648,0,0,794,0,0,0
21,0,1663,0.472242,0,1663,0,1090,0,0,573,0,0,0
22,0,1776,0.471115,0,1776,0,1316,0,0,460,0,0,0
23,0,1862,0.47204,0,1862,0,1488,0,0,374,0,0,0
24,0,1905,0.470596,0,1905,0,1574,0,0,331,0,0,0
25,0,1937,0.470596,0,1937,0,1638,0,0,299,0,0,0
26,0,1958,0.470596,0,1958,0,1680,0,0,278,0,0,0
27,0,1967,0.470596,0,1967,0,1698,0,0,269,0,0,0
28,0,1971,0.470596,0,1971,0,1382,324,0,265,0,0,0
29,0,1972,0.470596,0,1972,0,839,869,0,264,0,0,0
30,0,1974,0.470596,0,1974,0,509,1203,0,262,0,0,0
31,0,1975,0.470596,0,1975,0,312,1402,0,261,0,0,0
32,0,1975,0.470596,0,1975,0,183,1531,0,261,0,0,0
33,0,1975,0.470596,0,1975,0,108,1606,0,261,0,0,0
34,0,1976,0.470596,0,1976,0,57,1659,0,260,0,0,0
35,0,1977,0.470596,0,1977,0,29,1689,0,259,0,0,0
36,0,1977,0.470596,0,1977,0,16,1378,324,259,0,0,0
37,0,1977,0.470596,0,1977,0,11,838,869,259,0,0,0
38,0,1977,0.470596,0,1977,0,8,507,1203,259,0,0,0
39,0,1977,0.470596,0,1977,0,5,311,1402,259,0,0,0
40,0,2081,0.47085,0,2081,0,212,183,1207,479,0,0,0
41,0,2395,0.470596,0,2395,0,840,108,737,710,0,0,0
42,0,2695,0.47171,0,2695,0,1439,56,456,744,0,0,0
43,0,2958,0.470596,0,2958,0,1963,28,287,680,0,0,0
44,0,3170,0.472446,0,3170,0,2386,16,171,597,0,0,0
45,0,3328,0.471885,0,3328,0,2702,11,101,514,0,0,0
46,0,3453,0.471627,0,3453,0,2952,8,51,442,0,0,0
47,0,3539,0.470635,0,3539,0,3124,5,24,386,0,0,0
48,0,3574,0.470596,0,3574,0,3090,108,12,364,0,0,0
49,0,3596,0.470596,0,3596,0,2716,526,7,347,0,0,0
50,0,3616,0.470596,0,3616,0,2142,1139,5,330,0,0,0
51,0,3629,0.470596,0,3629,0,1605,1700,4,320,0,0,0
52,0,3635,0.470596,0,3635,0,1142,2174,4,315,0,0,0
53,0,3640,0.470596,0,3640,0,782,2544,4,310,0,0,0
54,0,3644,0.470596,0,3644,0,507,2827,3,307,0,0,0
55,0,3645,0.470596,0,3645,0,298,3038,1,308,0,0,0
56,0,3650,0.470596,0,3650,0,187,3055,104,304,0,0,0
57,0,3651,0.470596,0,3651,0,132,2694,522,303,0,0,0
58,0,3651,0.470596,0,3651,0,90,2122,1136,303,0,0,0
59,0,3651,0.470596,0,3651,0,57,1592,1699,303,0,0,0
60,0,3698,0.470596,0,3698,0,132,1136,2070,360,0,0,0
61,0,3900,0.470596,0,3900,0,525,777,2022,576,0,0,0
62,0,4254,0.471342,0,4254,0,1224,503,1691,836,0,0,0
63,0,4677,0.470596,0,4677,0,2065,297,1339,976,0,0,0
64,0,5139,0.471529,0,5139,0,2983,182,985,989,0,0,0
65,0,5541,0.470596,0,5541,0,3781,131,672,957,0,0,0
66,0,5902,0.471605,0,5902,0,4502,90,431,879,0,0,0
67,0,6188,0.47463,0,6188,0,5074,57,253,804,0,0,0
68,0,6419,0.470595,0,6419,0,5489,85,151,694,0,0,0
69,0,6558,0.470595,0,6558,0,5518,323,105,612,0,0,0
70,0,6670,0.470595,0,6670,0,5186,870,72,542,0,0,0
71,0,6755,0.470595,0,6755,0,4579,1642,44,490,0,0,0
72,0,6806,0.470595,0,6806,0,3796,2521,31,458,0,0,0
