current_time, N_vessels, N_cells, N_cells_pheno_0, N_cells_pheno_1, N_cells_pheno_1_Ap, N_cells_pheno_1_G1, N_cells_pheno_1_Sy, N_cells_pheno_1_G2, N_cells_pheno_1_Di, N_cells_pheno_1_Tr, N_cell_protrusions
0,0,300,0,300,0,300,0,0,0,0,0
0.1,0,300,0,300,0,58,242,0,0,0,0
0.2,0,300,0,300,0,54,246,0,0,0,0
0.3,0,300,0,300,0,55,245,0,0,0,0
0.4,0,300,0,300,0,47,253,0,0,0,0
0.5,0,300,0,300,0,62,238,0,0,0,0
0.6,0,300,0,300,0,56,244,0,0,0,0
0.7,0,300,0,300,0,66,234,0,0,0,0
0.8,0,300,0,300,0,77,223,0,0,0,0
0.9,0,300,0,300,0,65,235,0,0,0,0
1,0,300,0,300,0,61,239,0,0,0,0
1.1,0,300,0,300,0,65,235,0,0,0,0
1.2,0,300,0,300,0,59,241,0,0,0,0
1.3,0,300,0,300,0,66,234,0,0,0,0
1.4,0,300,0,300,0,58,242,0,0,0,0
1.5,0,300,0,300,0,52,248,0,0,0,0
1.6,0,300,0,300,0,46,254,0,0,0,0
1.7,0,300,0,300,0,56,244,0,0,0,0
1.8,0,300,0,300,0,47,253,0,0,0,0
1.9,0,300,0,300,0,53,247,0,0,0,0
2,0,300,0,300,0,58,242,0,0,0,0
2.1,0,300,0,300,0,51,249,0,0,0,0
2.2,0,300,0,300,0,52,248,0,0,0,0
2.3,0,300,0,300,0,46,254,0,0,0,0
2.4,0,300,0,300,0,69,231,0,0,0,0
2.5,0,300,0,300,0,49,251,0,0,0,0
2.6,0,300,0,300,0,60,240,0,0,0,0
2.7,0,300,0,300,0,51,249,0,0,0,0
2.8,0,300,0,300,0,67,233,0,0,0,0
2.9,0,300,0,300,0,54,246,0,0,0,0
3,0,300,0,300,0,46,254,0,0,0,0
3.1,0,300,0,300,0,68,232,0,0,0,0
3.2,0,300,0,300,0,46,254,0,0,0,0
3.3,0,300,0,300,0,58,242,0,0,0,0
3.4,0,300,0,300,0,52,248,0,0,0,0
3.5,0,300,0,300,0,58,242,0,0,0,0
3.6,0,300,0,300,0,47,253,0,0,0,0
3.7,0,300,0,300,0,57,243,0,0,0,0
3.8,0,300,0,300,0,59,241,0,0,0,0
3.9,0,300,0,300,0,68,232,0,0,0,0
4,0,300,0,300,0,63,237,0,0,0,0
4.1,0,300,0,300,0,48,252,0,0,0,0
4.2,0,300,0,300,0,57,243,0,0,0,0
4.3,0,300,0,300,0,58,242,0,0,0,0
4.4,0,300,0,300,0,62,238,0,0,0,0
4.5,0,300,0,300,0,76,224,0,0,0,0
4.6,0,300,0,300,0,65,235,0,0,0,0
4.7,0,300,0,300,0,52,248,0,0,0,0
4.8,0,300,0,300,0,56,244,0,0,0,0
4.9,0,307,0,307,0,59,241,0,7,0,0
5,0,317,0,317,0,60,247,0,10,0,0
5.1,0,321,0,321,0,64,253,0,4,0,0
5.2,0,324,0,324,0,59,262,0,3,0,0
5.3,0,326,0,326,0,68,256,0,2,0,0
5.4,0,328,0,328,0,58,268,0,2,0,0
5.5,0,329,0,329,0,63,265,0,1,0,0
5.6,0,331,0,331,0,64,265,0,2,0,0
5.7,0,335,0,335,0,62,269,0,4,0,0
5.8,0,338,0,338,0,78,257,0,3,0,0
5.9,0,339,0,339,0,70,268,0,1,0,0
6,0,340,0,340,0,68,271,0,1,0,0
6.1,0,340,0,340,0,61,279,0,0,0,0
6.2,0,341,0,341,0,58,282,0,1,0,0
6.3,0,342,0,342,0,55,286,0,1,0,0
6.4,0,344,0,344,0,58,284,0,2,0,0
6.5,0,346,0,346,0,79,265,0,2,0,0
6.6,0,347,0,347,0,72,274,0,1,0,0
6.7,0,349,0,349,0,77,270,0,2,0,0
6.8,0,350,0,350,0,82,267,0,1,0,0
6.9,0,350,0,350,0,72,278,0,0,0,0
7,0,351,0,351,0,56,294,0,1,0,0
7.1,0,351,0,351,0,71,280,0,0,0,0
7.2,0,351,0,351,0,66,285,0,0,0,0
7.3,0,352,0,352,0,73,278,0,1,0,0
7.4,0,352,0,352,0,61,291,0,0,0,0
7.5,0,354,0,354,0,82,270,0,2,0,0
7.6,0,355,0,355,0,62,292,0,1,0,0
7.7,0,356,0,356,0,64,291,0,1,0,0
7.8,0,357,0,357,0,72,284,0,1,0,0
7.9,0,357,0,357,0,68,289,0,0,0,0
8,0,358,0,358,0,81,276,0,1,0,0
8.1,0,361,0,361,0,80,278,0,3,0,0
8.2,0,362,0,362,0,79,282,0,1,0,0
8.3,0,363,0,363,0,77,285,0,1,0,0
8.4,0,363,0,363,0,65,298,0,0,0,0
8.5,0,363,0,363,0,81,282,0,0,0,0
8.6,0,365,0,365,0,81,282,0,2,0,0
8.7,0,367,0,367,0,79,286,0,2,0,0
8.8,0,367,0,367,0,76,291,0,0,0,0
8.9,0,367,0,367,0,61,306,0,0,0,0
9,0,370,0,370,0,74,293,0,3,0,0
9.1,0,371,0,371,0,78,292,0,1,0,0
9.2,0,372,0,372,0,77,294,0,1,0,0
9.3,0,372,0,372,0,86,286,0,0,0,0
9.4,0,372,0,372,0,78,294,0,0,0,0
9.5,0,372,0,372,0,75,297,0,0,0,0
9.6,0,373,0,373,0,70,302,0,1,0,0
9.7,0,373,0,373,0,74,299,0,0,0,0
9.8,0,373,0,373,0,77,296,0,0,0,0
9.9,0,374,0,374,0,69,304,0,1,0,0
10,0,374,0,374,0,73,301,0,0,0,0
10.1,0,375,0,375,0,73,301,0,1,0,0
10.2,0,375,0,375,0,69,306,0,0,0,0
10.3,0,375,0,375,0,71,304,0,0,0,0
10.4,0,375,0,375,0,80,295,0,0,0,0
10.5,0,376,0,376,0,76,299,0,1,0,0
10.6,0,377,0,377,0,83,293,0,1,0,0
10.7,0,377,0,377,0,85,292,0,0,0,0
10.8,0,377,0,377,0,72,305,0,0,0,0
10.9,0,379,0,379,0,84,293,0,2,0,0
11,0,380,0,380,0,83,296,0,1,0,0
11.1,0,380,0,380,0,71,309,0,0,0,0
11.2,0,383,0,383,0,79,301,0,3,0,0
11.3,0,384,0,384,0,67,316,0,1,0,0
11.4,0,384,0,384,0,82,302,0,0,0,0
11.5,0,386,0,386,0,85,299,0,2,0,0
11.6,0,386,0,386,0,82,304,0,0,0,0
11.7,0,386,0,386,0,91,295,0,0,0,0
11.8,0,386,0,386,0,86,300,0,0,0,0
11.9,0,387,0,387,0,71,315,0,1,0,0
12,0,388,0,388,0,77,310,0,1,0,0
12.1,0,389,0,389,0,72,316,0,1,0,0
12.2,0,389,0,389,0,77,312,0,0,0,0
12.3,0,390,0,390,0,66,323,0,1,0,0
12.4,0,390,0,390,0,86,304,0,0,0,0
12.5,0,390,0,390,0,79,311,0,0,0,0
12.6,0,390,0,390,0,81,309,0,0,0,0
12.7,0,390,0,390,0,65,325,0,0,0,0
12.8,0,390,0,390,0,69,321,0,0,0,0
12.9,0,391,0,391,0,81,309,0,1,0,0
13,0,391,0,391,0,77,314,0,0,0,0
13.1,0,392,0,392,0,78,313,0,1,0,0
13.2,0,394,0,394,0,87,305,0,2,0,0
13.3,0,395,0,395,0,86,308,0,1,0,0
13.4,0,396,0,396,0,95,300,0,1,0,0
13.5,0,396,0,396,0,73,323,0,0,0,0
13.6,0,396,0,396,0,66,330,0,0,0,0
13.7,0,396,0,396,0,82,314,0,0,0,0
13.8,0,396,0,396,0,82,314,0,0,0,0
13.9,0,397,0,397,0,70,326,0,1,0,0
14,0,397,0,397,0,82,315,0,0,0,0
14.1,0,397,0,397,0,85,312,0,0,0,0
14.2,0,397,0,397,0,81,316,0,0,0,0
14.3,0,397,0,397,0,94,303,0,0,0,0
14.4,0,398,0,398,0,73,324,0,1,0,0
14.5,0,398,0,398,0,83,315,0,0,0,0
14.6,0,398,0,398,0,75,323,0,0,0,0
14.7,0,398,0,398,0,81,317,0,0,0,0
14.8,0,399,0,399,0,80,318,0,1,0,0
14.9,0,400,0,400,0,83,316,0,1,0,0
15,0,401,0,401,0,77,323,0,1,0,0
15.1,0,401,0,401,0,87,314,0,0,0,0
15.2,0,402,0,402,0,86,315,0,1,0,0
15.3,0,402,0,402,0,84,318,0,0,0,0
15.4,0,403,0,403,0,95,307,0,1,0,0
15.5,0,405,0,405,0,81,322,0,2,0,0
15.6,0,407,0,407,0,75,330,0,2,0,0
15.7,0,407,0,407,0,66,341,0,0,0,0
15.8,0,407,0,407,0,81,326,0,0,0,0
15.9,0,407,0,407,0,82,325,0,0,0,0
16,0,409,0,409,0,83,324,0,2,0,0
16.1,0,410,0,410,0,91,318,0,1,0,0
16.2,0,410,0,410,0,95,315,0,0,0,0
16.3,0,410,0,410,0,82,328,0,0,0,0
16.4,0,410,0,410,0,91,319,0,0,0,0
16.5,0,412,0,412,0,75,335,0,2,0,0
16.6,0,412,0,412,0,86,326,0,0,0,0
16.7,0,412,0,412,0,89,323,0,0,0,0
16.8,0,413,0,413,0,68,344,0,1,0,0
16.9,0,415,0,415,0,70,343,0,2,0,0
17,0,415,0,415,0,79,336,0,0,0,0
17.1,0,418,0,418,0,98,317,0,3,0,0
17.2,0,418,0,418,0,87,331,0,0,0,0
17.3,0,419,0,419,0,96,322,0,1,0,0
17.4,0,419,0,419,0,88,331,0,0,0,0
17.5,0,419,0,419,0,106,313,0,0,0,0
17.6,0,422,0,422,0,75,344,0,3,0,0
17.7,0,423,0,423,0,75,347,0,1,0,0
17.8,0,423,0,423,0,93,330,0,0,0,0
17.9,0,424,0,424,0,90,333,0,1,0,0
18,0,424,0,424,0,85,339,0,0,0,0
18.1,0,425,0,425,0,97,327,0,1,0,0
18.2,0,426,0,426,0,80,345,0,1,0,0
18.3,0,427,0,427,0,104,322,0,1,0,0
18.4,0,427,0,427,0,90,337,0,0,0,0
18.5,0,427,0,427,0,73,354,0,0,0,0
18.6,0,427,0,427,0,100,327,0,0,0,0
18.7,0,427,0,427,0,79,348,0,0,0,0
18.8,0,427,0,427,0,90,337,0,0,0,0
18.9,0,427,0,427,0,85,342,0,0,0,0
19,0,428,0,428,0,87,340,0,1,0,0
19.1,0,430,0,430,0,92,336,0,2,0,0
19.2,0,433,0,433,0,87,343,0,3,0,0
19.3,0,433,0,433,0,97,336,0,0,0,0
19.4,0,435,0,435,0,93,340,0,2,0,0
19.5,0,435,0,435,0,96,339,0,0,0,0
19.6,0,435,0,435,0,82,353,0,0,0,0
19.7,0,437,0,437,0,89,346,0,2,0,0
19.8,0,440,0,440,0,95,342,0,3,0,0
19.9,0,441,0,441,0,100,340,0,1,0,0
20,0,444,0,444,0,96,345,0,3,0,0
20.1,0,445,0,445,0,87,357,0,1,0,0
20.2,0,445,0,445,0,78,367,0,0,0,0
20.3,0,448,0,448,0,94,351,0,3,0,0
20.4,0,451,0,451,0,88,360,0,3,0,0
20.5,0,452,0,452,0,84,367,0,1,0,0
20.6,0,456,0,456,0,90,362,0,4,0,0
20.7,0,457,0,457,0,80,376,0,1,0,0
20.8,0,460,0,460,0,90,367,0,3,0,0
20.9,0,460,0,460,0,78,382,0,0,0,0
21,0,461,0,461,0,102,358,0,1,0,0
21.1,0,464,0,464,0,95,366,0,3,0,0
21.2,0,465,0,465,0,97,367,0,1,0,0
21.3,0,467,0,467,0,90,375,0,2,0,0
21.4,0,471,0,471,0,96,371,0,4,0,0
21.5,0,471,0,471,0,94,377,0,0,0,0
21.6,0,472,0,472,0,92,379,0,1,0,0
21.7,0,473,0,473,0,90,382,0,1,0,0
21.8,0,475,0,475,0,103,370,0,2,0,0
21.9,0,475,0,475,0,99,376,0,0,0,0
22,0,476,0,476,0,94,381,0,1,0,0
22.1,0,478,0,478,0,103,373,0,2,0,0
22.2,0,482,0,482,0,103,375,0,4,0,0
22.3,0,486,0,486,0,102,380,0,4,0,0
22.4,0,486,0,486,0,100,386,0,0,0,0
22.5,0,488,0,488,0,115,371,0,2,0,0
22.6,0,488,0,488,0,98,390,0,0,0,0
22.7,0,490,0,490,0,98,390,0,2,0,0
22.8,0,491,0,491,0,95,395,0,1,0,0
22.9,0,493,0,493,0,98,393,0,2,0,0
23,0,497,0,497,0,112,381,0,4,0,0
