current_time, N_vessels, N_cells, tumor_volume_mm3, N_cells_pheno_0, N_cells_pheno_2, N_cells_pheno_2_Ap, N_cells_pheno_2_G1, N_cells_pheno_2_Sy, N_cells_pheno_2_G2, N_cells_pheno_2_Di, N_cells_pheno_2_Tr, N_cells_pheno_2_G0, N_cell_protrusions
0,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
1,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
2,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
3,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
4,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
5,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
6,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
7,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
8,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
9,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
10,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
11,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
12,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
13,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
14,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
15,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
16,0,1118,0.470596,0,1118,0,0,0,1118,0,0,0,0
17,0,1118,0.470596,0,1118,0,0,0,1118,0,0,0,0
18,0,1118,0.470596,0,1118,0,0,0,1118,0,0,0,0
19,0,1118,0.470596,0,1118,0,0,0,1118,0,0,0,0
20,0,1323,0.470596,0,1323,0,410,0,0,913,0,0,0
21,0,1436,0.470596,0,1436,0,636,0,0,800,0,0,0
22,0,1501,0.470596,0,1501,0,766,0,0,735,0,0,0
23,0,1519,0.470727,0,1519,0,802,0,0,717,0,0,0
24,0,1543,0.470596,0,1543,0,850,0,0,693,0,0,0
25,0,1555,0.470596,0,1555,0,874,0,0,681,0,0,0
26,0,1562,0.470596,0,1562,0,888,0,0,674,0,0,0
27,0,1563,0.470596,0,1563,0,890,0,0,673,0,0,0
28,0,1563,0.470596,0,1563,0,685,205,0,673,0,0,0
29,0,1564,0.470596,0,1564,0,369,523,0,672,0,0,0
30,0,1566,0.470596,0,1566,0,195,701,0,670,0,0,0
31,0,1566,0.470596,0,1566,0,112,784,0,670,0,0,0
32,0,1567,0.470596,0,1567,0,72,826,0,669,0,0,0
33,0,1567,0.470596,0,1567,0,36,862,0,669,0,0,0
34,0,1567,0.470596,0,1567,0,17,881,0,669,0,0,0
35,0,1567,0.470596,0,1567,0,9,889,0,669,0,0,0
36,0,1567,0.470596,0,1567,0,8,685,205,669,0,0,0
37,0,1567,0.470596,0,1567,0,7,368,523,669,0,0,0
38,0,1567,0.470596,0,1567,0,4,193,701,669,0,0,0
39,0,1567,0.470596,0,1567,0,2,112,784,669,0,0,0
40,0,1613,0.470596,0,1613,0,93,71,621,828,0,0,0
41,0,1698,0.470852,0,1698,0,262,36,339,1061,0,0,0
42,0,1768,0.470596,0,1768,0,402,17,180,1169,0,0,0
43,0,1837,0.470596,0,1837,0,540,9,105,1183,0,0,0
44,0,1885,0.470596,0,1885,0,636,8,64,1177,0,0,0
45,0,1920,0.470596,0,1920,0,706,7,29,1178,0,0,0
46,0,1942,0.470596,0,1942,0,750,4,13,1175,0,0,0
47,0,1955,0.470596,0,1955,0,776,2,7,1170,0,0,0
48,0,1963,0.470596,0,1963,0,746,47,7,1163,0,0,0
49,0,1966,0.470596,0,1966,0,621,177,7,1161,0,0,0
50,0,1968,0.470596,0,1968,0,470,332,4,1162,0,0,0
51,0,1970,0.470596,0,1970,0,335,471,2,1162,0,0,0
52,0,1970,0.470596,0,1970,0,218,588,1,1163,0,0,0
53,0,1970,0.470596,0,1970,0,135,671,0,1164,0,0,0
54,0,1973,0.470596,0,1973,0,84,728,0,1161,0,0,0
55,0,1974,0.470596,0,1974,0,51,763,0,1160,0,0,0
56,0,1974,0.470596,0,1974,0,30,738,46,1160,0,0,0
57,0,1974,0.470596,0,1974,0,19,618,177,1160,0,0,0
58,0,1974,0.470596,0,1974,0,14,468,332,1160,0,0,0
59,0,1974,0.470596,0,1974,0,10,333,471,1160,0,0,0
60,0,1982,0.470596,0,1982,0,24,218,542,1198,0,0,0
61,0,2012,0.470596,0,2012,0,84,135,494,1299,0,0,0
62,0,2059,0.470596,0,2059,0,175,81,396,1407,0,0,0
63,0,2109,0.470596,0,2109,0,271,50,292,1496,0,0,0
64,0,2170,0.470596,0,2170,0,392,30,196,1552,0,0,0
65,0,2208,0.470596,0,2208,0,468,19,124,1597,0,0,0
66,0,2238,0.470596,0,2238,0,528,14,72,1624,0,0,0
67,0,2267,0.470596,0,2267,0,586,10,41,1630,0,0,0
68,0,2289,0.470596,0,2289,0,622,16,22,1629,0,0,0
69,0,2301,0.470596,0,2301,0,608,54,11,1628,0,0,0
70,0,2310,0.470596,0,2310,0,549,128,9,1624,0,0,0
71,0,2314,0.470596,0,2314,0,460,221,9,1624,0,0,0
72,0,2317,0.470596,0,2317,0,355,331,8,1623,0,0,0
