number,state,value,datetime_start,datetime_complete,normoxic_CC/can_grow/probability,normoxic_CC/can_grow/diameter_rate,normoxic_CC/can_divide/probability,normoxic_CC/can_divide/diameter_cutoff,normoxic_CC/diameter/max,normoxic_CC/phase_dwell/G1,normoxic_CC/phase_dwell/Sy,normoxic_CC/phase_dwell/G2,normoxic_CC/can_divide/time_window,normoxic_CC/can_divide/probability_increment_with_age,normoxic_CC/can_divide/influence_ratio,normoxic_CC/can_apoptose/probability,normoxic_CC/can_apoptose/time_window,attr_penalty,attr_score_curve
17,TrialState.COMPLETE,100.29372132160644,2026-06-10 15:01:29.409365,2026-06-10 15:02:39.562245,0.01228291191043646,16.24309924459122,0.8645433096407659,14.220961859051066,24.451996687534383,9.230020064858895,5.043578815320834,3.456511454349174,13.167349960194002,3.645511053903339e-05,2.603356280546769,0.006241089314045326,3749.083178759028,85.87238908865606,14.42133223295038
18,TrialState.COMPLETE,309.0000708896407,2026-06-10 15:02:39.579967,2026-06-10 15:03:30.530458,0.3726401179861779,0.5152450315872931,0.3682248693692087,19.93239230564361,28.517093028754424,10.827987051722413,1.0415991856393108,1.4616176902113724,5.111834111720174,0.00029911859255258335,0.4258420880474434,0.00012565569494094728,92.22939827519478,260.88176399109494,48.118306898545754
19,TrialState.COMPLETE,128.4688226503597,2026-06-10 15:03:30.544479,2026-06-10 15:04:25.955578,0.615111611648848,0.11334083846613976,0.8465041392703401,13.67604643439527,26.381751671308564,13.95532753321692,1.7251194613943146,7.220683964658217,20.107331170798048,9.163317469633892e-05,3.1896452323645543,0.0018413178073699702,759.7043456003369,109.66849868535894,18.80032396500077
20,TrialState.COMPLETE,376.0075738418517,2026-06-10 15:04:25.969518,2026-06-10 15:05:03.902244,0.6231966291761605,4.419963223422775,0.23797871214755872,19.455133455754478,27.84716185589356,17.73930835876824,14.154557724903261,6.1958603297720325,25.849315316100522,0.00033237166695215304,1.333503769101298,0.0008252863453794095,383.8891128562724,310.65688613880997,65.3506877030417
21,TrialState.COMPLETE,484.8670702428063,2026-06-10 15:05:03.917927,2026-06-10 15:05:38.436825,0.030739102372797728,2.4167255773389407,0.8417492278953722,21.41786638208374,25.244681956624,2.751738608508643,8.791480912677253,1.4609153864891038,6.051418115685996,0.00028270100278237676,0.6915646823994415,0.001247025005403397,636.7104941468713,390.1149050000771,94.75216524272918
22,TrialState.COMPLETE,344.75960135214603,2026-06-10 15:05:38.451754,2026-06-10 15:06:13.888632,0.860182178671903,5.337642540863412,0.8945554335995953,13.331379978800465,18.84998148272232,17.093175045812448,18.12980902872985,11.82061557633736,19.586471560361105,0.00016500369426760547,2.4267008649166404,0.010993713039327111,1032.325165875245,286.7784846619044,57.981116690241656
23,TrialState.COMPLETE,220.43705097946173,2026-06-10 15:06:13.902067,2026-06-10 15:07:04.553539,0.1167438269257032,0.48474965707009826,0.9768797431844859,15.181610181891092,23.613516206745967,13.126567763507294,4.755407938172741,2.8227927544731752,15.528723279743758,0.0004951020300426571,1.5759672452345872,0.00437636615736957,151.80441299559791,188.24410282022123,32.19294815924049
24,TrialState.COMPLETE,392.59654028243426,2026-06-10 15:07:04.567449,2026-06-10 15:07:39.223402,0.06998921696293822,0.23876502201483837,0.15994243337374756,13.403644987145672,23.050590383460992,18.78449044254384,17.726528044266882,8.011305916531459,25.72546496738204,0.00029897768576221353,2.7753866412082515,0.0009705108633494806,3125.877621257331,323.09182021059604,69.5047200718382
25,TrialState.COMPLETE,234.18925180786326,2026-06-10 15:07:39.237534,2026-06-10 15:08:25.250234,0.05174376199425146,7.551400950771458,0.14372153641067545,10.704381111855366,15.884918712833075,2.1953382869645837,10.80373568039013,5.454958421092448,29.989838219335617,5.428500527632213e-05,1.3095372099791245,0.04908434365861787,394.4934576759763,196.58705229068983,37.60219951717343
26,TrialState.COMPLETE,305.74218946064775,2026-06-10 15:08:25.264989,2026-06-10 15:09:10.907008,0.8745024088083948,2.3161152853011875,0.9437084807479724,20.62464692986284,26.689283873729174,1.7315854498319663,19.28975206588605,6.715989886545428,7.02593933216584,0.00043754890336932537,0.8966059160103832,3.257591999254689e-05,1559.4101997238577,255.5578211407626,50.18436831988514
27,TrialState.COMPLETE,387.2890802104771,2026-06-10 15:09:10.921367,2026-06-10 15:09:44.365616,0.9640510204124222,1.9233282730476862,0.4403500180204857,10.26533413622212,24.08982510473242,23.190320051003642,19.384238138371767,11.230316901865939,6.355715127884937,0.0003114810791807204,1.6518506790525285,0.00022026855192553278,84.08951470737509,315.5486716040707,71.74040860640636
28,TrialState.COMPLETE,315.18027110953216,2026-06-10 15:09:44.380255,2026-06-10 15:10:27.104159,0.859467222476159,4.105836867223626,0.08659689792110642,20.643591270836737,26.73696826148095,8.298001459048086,16.54796196035313,6.58310575066583,1.614605751273975,0.00021676087911439085,1.7852522238151765,7.64518461653555e-05,2434.132286834514,263.09648231873683,52.08378879079531
29,TrialState.COMPLETE,148.68356139263759,2026-06-10 15:10:27.117877,2026-06-10 15:11:10.586503,0.7373165348469227,2.5488334654048885,0.48793917403982723,15.848270558094317,19.001110438843806,14.915255333113489,15.317330698815454,3.9764265074855705,16.146795210841802,4.916426510678057e-05,2.8545466998779148,0.01862257104929539,797.3356594412785,122.7713227916307,25.91223860100688
30,TrialState.COMPLETE,181.27890797070373,2026-06-10 15:11:10.600017,2026-06-10 15:12:09.012088,0.5727977709057251,0.1771586946166014,0.8097723794342754,13.878826233868807,27.93947953580704,16.508762228036517,2.8142626462162204,5.166410630725997,13.323577447387486,0.00010416878845785815,3.3853771743932066,0.002253022606993339,902.9728004070628,150.79293591100205,30.48597205970169
31,TrialState.COMPLETE,186.278432246962,2026-06-10 15:12:09.027442,2026-06-10 15:13:01.964899,0.8020945403056058,0.20455406909338045,0.1522245081288388,10.146845922683648,23.848763655373503,11.423474703987281,11.927309928702,4.226783648674278,12.542051822875552,7.937786900550252e-05,2.135296450067148,5.879689400186359e-05,186.2505552236747,155.5484216567329,30.730010590229103
