number,state,value,params,error
68,TrialState.PRUNED,,"{'normoxic_CC/can_grow/probability': 0.5776544974283186, 'normoxic_CC/can_grow/diameter_rate': 1.667339079049244, 'normoxic_CC/can_divide/probability': 0.7342499738536215, 'normoxic_CC/can_divide/diameter_cutoff': 18.593354005354172, 'normoxic_CC/can_divide/O2/threshold': 0.8995395311475262, 'normoxic_CC/diameter/max': 17.293732369187158}",ABM command failed with exit code 1. See /home/aiwsif/Desktop/calibration-tools/outputs/optuna/EGI1/control/abm_evals/EGI1_0s_optuna_r0_00170/run.log
72,TrialState.PRUNED,47.34820190896713,"{'normoxic_CC/can_grow/probability': 0.8100043914987793, 'normoxic_CC/can_grow/diameter_rate': 0.4133981861880379, 'normoxic_CC/can_divide/probability': 0.1378017818173809, 'normoxic_CC/can_divide/diameter_cutoff': 21.174895469729634, 'normoxic_CC/can_divide/O2/threshold': 0.09064825239048468, 'normoxic_CC/diameter/max': 28.165363282047103}",
74,TrialState.PRUNED,0.4635520774375371,"{'normoxic_CC/can_grow/probability': 0.7681674760895028, 'normoxic_CC/can_grow/diameter_rate': 4.219120200319658, 'normoxic_CC/can_divide/probability': 0.7441611629198361, 'normoxic_CC/can_divide/diameter_cutoff': 10.356524892038415, 'normoxic_CC/can_divide/O2/threshold': 0.6476176836449548, 'normoxic_CC/diameter/max': 23.136108745893406}",
76,TrialState.PRUNED,0.48933152640904576,"{'normoxic_CC/can_grow/probability': 0.599108325763126, 'normoxic_CC/can_grow/diameter_rate': 2.473247448227306, 'normoxic_CC/can_divide/probability': 0.5838917222929707, 'normoxic_CC/can_divide/diameter_cutoff': 13.418345247849333, 'normoxic_CC/can_divide/O2/threshold': 0.2275950909900431, 'normoxic_CC/diameter/max': 21.081019196681616}",
77,TrialState.PRUNED,0.4831352008721679,"{'normoxic_CC/can_grow/probability': 0.42953376369278096, 'normoxic_CC/can_grow/diameter_rate': 1.1513385896826733, 'normoxic_CC/can_divide/probability': 0.8742853502813556, 'normoxic_CC/can_divide/diameter_cutoff': 13.130606081075824, 'normoxic_CC/can_divide/O2/threshold': 0.2253095457576354, 'normoxic_CC/diameter/max': 27.007156682813303}",
78,TrialState.PRUNED,0.46807465726410225,"{'normoxic_CC/can_grow/probability': 0.9891164025614296, 'normoxic_CC/can_grow/diameter_rate': 2.241825830822629, 'normoxic_CC/can_divide/probability': 0.6072369613283425, 'normoxic_CC/can_divide/diameter_cutoff': 15.491856610863469, 'normoxic_CC/can_divide/O2/threshold': 0.371714896551931, 'normoxic_CC/diameter/max': 28.54479648240197}",
79,TrialState.PRUNED,0.48230795178814556,"{'normoxic_CC/can_grow/probability': 0.47531551707632386, 'normoxic_CC/can_grow/diameter_rate': 2.1209513100096786, 'normoxic_CC/can_divide/probability': 0.8385154293787689, 'normoxic_CC/can_divide/diameter_cutoff': 13.977063405659043, 'normoxic_CC/can_divide/O2/threshold': 0.21509482487384912, 'normoxic_CC/diameter/max': 20.0563929238781}",
80,TrialState.PRUNED,0.49065356516885505,"{'normoxic_CC/can_grow/probability': 0.6134546415254469, 'normoxic_CC/can_grow/diameter_rate': 0.4870562700173726, 'normoxic_CC/can_divide/probability': 0.5965126209271876, 'normoxic_CC/can_divide/diameter_cutoff': 12.650286631308674, 'normoxic_CC/can_divide/O2/threshold': 0.8089246876488759, 'normoxic_CC/diameter/max': 27.546918960694065}",
81,TrialState.PRUNED,11.859403080657628,"{'normoxic_CC/can_grow/probability': 0.9452363386826589, 'normoxic_CC/can_grow/diameter_rate': 12.889304392495223, 'normoxic_CC/can_divide/probability': 0.12253971091506882, 'normoxic_CC/can_divide/diameter_cutoff': 18.669952523041236, 'normoxic_CC/can_divide/O2/threshold': 0.7280708911152699, 'normoxic_CC/diameter/max': 20.530757670258446}",
83,TrialState.PRUNED,0.49112962523093606,"{'normoxic_CC/can_grow/probability': 0.3134162177450813, 'normoxic_CC/can_grow/diameter_rate': 5.121932684763674, 'normoxic_CC/can_divide/probability': 0.548323791629647, 'normoxic_CC/can_divide/diameter_cutoff': 14.369239424344478, 'normoxic_CC/can_divide/O2/threshold': 0.2636023797766779, 'normoxic_CC/diameter/max': 24.325930870289156}",
85,TrialState.PRUNED,0.4646844090645691,"{'normoxic_CC/can_grow/probability': 0.5087385684832804, 'normoxic_CC/can_grow/diameter_rate': 6.698156150025261, 'normoxic_CC/can_divide/probability': 0.6985239209692009, 'normoxic_CC/can_divide/diameter_cutoff': 17.321346185618403, 'normoxic_CC/can_divide/O2/threshold': 0.7291463952774295, 'normoxic_CC/diameter/max': 23.72229787227802}",
86,TrialState.PRUNED,0.4740459127219945,"{'normoxic_CC/can_grow/probability': 0.5631527333455434, 'normoxic_CC/can_grow/diameter_rate': 14.423239966746946, 'normoxic_CC/can_divide/probability': 0.5561646183615667, 'normoxic_CC/can_divide/diameter_cutoff': 20.16732662956649, 'normoxic_CC/can_divide/O2/threshold': 0.3174709879415804, 'normoxic_CC/diameter/max': 24.310799447087998}",
88,TrialState.PRUNED,,"{'normoxic_CC/can_grow/probability': 0.41813844987663595, 'normoxic_CC/can_grow/diameter_rate': 17.31380496027875, 'normoxic_CC/can_divide/probability': 0.6632796609251119, 'normoxic_CC/can_divide/diameter_cutoff': 16.441444015527964, 'normoxic_CC/can_divide/O2/threshold': 0.7269757930935337, 'normoxic_CC/diameter/max': 19.990396167131564}",ABM command failed with exit code 1. See /home/aiwsif/Desktop/calibration-tools/outputs/optuna/EGI1/control/abm_evals/EGI1_0s_optuna_r0_00217/run.log
94,TrialState.PRUNED,0.46565947928460855,"{'normoxic_CC/can_grow/probability': 0.8354256927626079, 'normoxic_CC/can_grow/diameter_rate': 1.0140420686925424, 'normoxic_CC/can_divide/probability': 0.6419934374064642, 'normoxic_CC/can_divide/diameter_cutoff': 12.943028929463594, 'normoxic_CC/can_divide/O2/threshold': 0.6110138967651109, 'normoxic_CC/diameter/max': 27.22791132095015}",
95,TrialState.PRUNED,0.4733773372959449,"{'normoxic_CC/can_grow/probability': 0.32343512227743676, 'normoxic_CC/can_grow/diameter_rate': 23.215051343834396, 'normoxic_CC/can_divide/probability': 0.6886973688811455, 'normoxic_CC/can_divide/diameter_cutoff': 15.286401675729703, 'normoxic_CC/can_divide/O2/threshold': 0.758779545696052, 'normoxic_CC/diameter/max': 24.748147471438298}",
97,TrialState.PRUNED,0.47189060199911553,"{'normoxic_CC/can_grow/probability': 0.7282054742600756, 'normoxic_CC/can_grow/diameter_rate': 1.1441779094667273, 'normoxic_CC/can_divide/probability': 0.8404816648748624, 'normoxic_CC/can_divide/diameter_cutoff': 12.806706555956985, 'normoxic_CC/can_divide/O2/threshold': 0.5894466635655226, 'normoxic_CC/diameter/max': 24.494152356163653}",
98,TrialState.PRUNED,,"{'normoxic_CC/can_grow/probability': 0.9070869014234506, 'normoxic_CC/can_grow/diameter_rate': 0.1964171830729911, 'normoxic_CC/can_divide/probability': 0.5825274867452341, 'normoxic_CC/can_divide/diameter_cutoff': 15.762256792862884, 'normoxic_CC/can_divide/O2/threshold': 0.6814827145404215, 'normoxic_CC/diameter/max': 16.931705560349386}",ABM command failed with exit code 1. See /home/aiwsif/Desktop/calibration-tools/outputs/optuna/EGI1/control/abm_evals/EGI1_0s_optuna_r0_00242/run.log
