number,state,value,params,error
156,TrialState.PRUNED,15.28582932199716,"{'normoxic_CC/can_grow/probability': 0.407077656778054, 'normoxic_CC/can_grow/diameter_rate': 19.00960220988792, 'normoxic_CC/can_divide/probability': 0.10182848748999307, 'normoxic_CC/can_divide/diameter_cutoff': 20.82246534704592, 'normoxic_CC/can_divide/O2/threshold': 0.2537564809453462, 'normoxic_CC/diameter/max': 27.869274891656197}",
158,TrialState.PRUNED,0.46468270330046163,"{'normoxic_CC/can_grow/probability': 0.9395448867652229, 'normoxic_CC/can_grow/diameter_rate': 2.029740897591116, 'normoxic_CC/can_divide/probability': 0.6660096076290608, 'normoxic_CC/can_divide/diameter_cutoff': 20.111235364882784, 'normoxic_CC/can_divide/O2/threshold': 0.8302802975856163, 'normoxic_CC/diameter/max': 24.299981562551057}",
161,TrialState.PRUNED,0.47150534320646553,"{'normoxic_CC/can_grow/probability': 0.8940716925686016, 'normoxic_CC/can_grow/diameter_rate': 1.9349520174850354, 'normoxic_CC/can_divide/probability': 0.5621095658120436, 'normoxic_CC/can_divide/diameter_cutoff': 18.063802770477537, 'normoxic_CC/can_divide/O2/threshold': 0.7316899851761591, 'normoxic_CC/diameter/max': 28.932949402672868}",
162,TrialState.PRUNED,1.1862558860159274,"{'normoxic_CC/can_grow/probability': 0.9366445926939672, 'normoxic_CC/can_grow/diameter_rate': 5.714605173962463, 'normoxic_CC/can_divide/probability': 0.6171210496957373, 'normoxic_CC/can_divide/diameter_cutoff': 18.75816903662625, 'normoxic_CC/can_divide/O2/threshold': 0.9219467322098144, 'normoxic_CC/diameter/max': 28.019830021256947}",
163,TrialState.PRUNED,0.4635841818287323,"{'normoxic_CC/can_grow/probability': 0.918278624914781, 'normoxic_CC/can_grow/diameter_rate': 7.477924718793935, 'normoxic_CC/can_divide/probability': 0.6803979915842312, 'normoxic_CC/can_divide/diameter_cutoff': 20.67759252377655, 'normoxic_CC/can_divide/O2/threshold': 0.7078653817214604, 'normoxic_CC/diameter/max': 28.797338902954053}",
165,TrialState.PRUNED,0.46343686944769114,"{'normoxic_CC/can_grow/probability': 0.7844244136494521, 'normoxic_CC/can_grow/diameter_rate': 3.50809271443282, 'normoxic_CC/can_divide/probability': 0.6524927978072294, 'normoxic_CC/can_divide/diameter_cutoff': 16.845481839658465, 'normoxic_CC/can_divide/O2/threshold': 0.6077373795835357, 'normoxic_CC/diameter/max': 25.453602376759264}",
166,TrialState.PRUNED,0.46350988251028735,"{'normoxic_CC/can_grow/probability': 0.8335765860102893, 'normoxic_CC/can_grow/diameter_rate': 2.915630164026099, 'normoxic_CC/can_divide/probability': 0.6977665719569071, 'normoxic_CC/can_divide/diameter_cutoff': 19.696774800579902, 'normoxic_CC/can_divide/O2/threshold': 0.3688229125696299, 'normoxic_CC/diameter/max': 23.93089004947605}",
168,TrialState.PRUNED,0.4624887832601706,"{'normoxic_CC/can_grow/probability': 0.7318724354357599, 'normoxic_CC/can_grow/diameter_rate': 7.21570683167171, 'normoxic_CC/can_divide/probability': 0.6691696997427663, 'normoxic_CC/can_divide/diameter_cutoff': 13.606980678217878, 'normoxic_CC/can_divide/O2/threshold': 0.6371248731944643, 'normoxic_CC/diameter/max': 26.298336918902535}",
169,TrialState.PRUNED,,"{'normoxic_CC/can_grow/probability': 0.8979057718782164, 'normoxic_CC/can_grow/diameter_rate': 0.5577348983319613, 'normoxic_CC/can_divide/probability': 0.8291290720825684, 'normoxic_CC/can_divide/diameter_cutoff': 21.139484517336314, 'normoxic_CC/can_divide/O2/threshold': 0.12962604839797415, 'normoxic_CC/diameter/max': 19.04878053814777}",ABM command failed with exit code 1. See /home/aiwsif/Desktop/calibration-tools/outputs/optuna/EGI1/control/abm_evals/EGI1_0s_optuna_r0_00405/run.log
170,TrialState.PRUNED,0.48449719061236923,"{'normoxic_CC/can_grow/probability': 0.7137331973845862, 'normoxic_CC/can_grow/diameter_rate': 1.8549199985284952, 'normoxic_CC/can_divide/probability': 0.8345122368115241, 'normoxic_CC/can_divide/diameter_cutoff': 20.736183458862882, 'normoxic_CC/can_divide/O2/threshold': 0.567600214778513, 'normoxic_CC/diameter/max': 27.38567515173795}",
171,TrialState.PRUNED,0.4645658792904803,"{'normoxic_CC/can_grow/probability': 0.781750689673309, 'normoxic_CC/can_grow/diameter_rate': 2.528927017247861, 'normoxic_CC/can_divide/probability': 0.6030898677755281, 'normoxic_CC/can_divide/diameter_cutoff': 12.94602695195553, 'normoxic_CC/can_divide/O2/threshold': 0.733295953654307, 'normoxic_CC/diameter/max': 25.99706549598345}",
172,TrialState.PRUNED,3.608709419197773,"{'normoxic_CC/can_grow/probability': 0.877546083750369, 'normoxic_CC/can_grow/diameter_rate': 0.3525423594072327, 'normoxic_CC/can_divide/probability': 0.8879203071382856, 'normoxic_CC/can_divide/diameter_cutoff': 13.638551947171143, 'normoxic_CC/can_divide/O2/threshold': 0.9103080595427253, 'normoxic_CC/diameter/max': 25.687683625021638}",
173,TrialState.PRUNED,,"{'normoxic_CC/can_grow/probability': 0.10412211793107828, 'normoxic_CC/can_grow/diameter_rate': 17.974095325003237, 'normoxic_CC/can_divide/probability': 0.9139984172867139, 'normoxic_CC/can_divide/diameter_cutoff': 19.47506707814205, 'normoxic_CC/can_divide/O2/threshold': 0.8179616353566208, 'normoxic_CC/diameter/max': 19.139081215371977}",ABM command failed with exit code 1. See /home/aiwsif/Desktop/calibration-tools/outputs/optuna/EGI1/control/abm_evals/EGI1_0s_optuna_r0_00412/run.log
176,TrialState.PRUNED,0.4794686357311799,"{'normoxic_CC/can_grow/probability': 0.312464250282747, 'normoxic_CC/can_grow/diameter_rate': 1.2987706525574492, 'normoxic_CC/can_divide/probability': 0.9050396071169134, 'normoxic_CC/can_divide/diameter_cutoff': 11.472371392404359, 'normoxic_CC/can_divide/O2/threshold': 0.5279325719176722, 'normoxic_CC/diameter/max': 23.637728128193633}",
177,TrialState.PRUNED,,"{'normoxic_CC/can_grow/probability': 0.32345746831597655, 'normoxic_CC/can_grow/diameter_rate': 0.2740437229966608, 'normoxic_CC/can_divide/probability': 0.17632173391534195, 'normoxic_CC/can_divide/diameter_cutoff': 21.061224097409806, 'normoxic_CC/can_divide/O2/threshold': 0.7701098207047468, 'normoxic_CC/diameter/max': 16.90537295778408}",ABM command failed with exit code 1. See /home/aiwsif/Desktop/calibration-tools/outputs/optuna/EGI1/control/abm_evals/EGI1_0s_optuna_r0_00421/run.log
178,TrialState.PRUNED,0.9139076894980945,"{'normoxic_CC/can_grow/probability': 0.9132660832084006, 'normoxic_CC/can_grow/diameter_rate': 7.849654429373361, 'normoxic_CC/can_divide/probability': 0.7060786112107775, 'normoxic_CC/can_divide/diameter_cutoff': 12.202621559293492, 'normoxic_CC/can_divide/O2/threshold': 0.9176632576335096, 'normoxic_CC/diameter/max': 27.84873351783694}",
179,TrialState.PRUNED,0.48029797462301405,"{'normoxic_CC/can_grow/probability': 0.7366870053743075, 'normoxic_CC/can_grow/diameter_rate': 1.0502017437522424, 'normoxic_CC/can_divide/probability': 0.9074417039141662, 'normoxic_CC/can_divide/diameter_cutoff': 10.147524929434768, 'normoxic_CC/can_divide/O2/threshold': 0.6393327159321195, 'normoxic_CC/diameter/max': 22.075536933312396}",
180,TrialState.PRUNED,1.3577479020823493,"{'normoxic_CC/can_grow/probability': 0.9608422119590615, 'normoxic_CC/can_grow/diameter_rate': 4.64439647102874, 'normoxic_CC/can_divide/probability': 0.832030857689828, 'normoxic_CC/can_divide/diameter_cutoff': 18.33230258675617, 'normoxic_CC/can_divide/O2/threshold': 0.9205191354919833, 'normoxic_CC/diameter/max': 27.079775521233504}",
182,TrialState.PRUNED,0.46542318399550325,"{'normoxic_CC/can_grow/probability': 0.7281078323353095, 'normoxic_CC/can_grow/diameter_rate': 13.267393770491909, 'normoxic_CC/can_divide/probability': 0.648602020976512, 'normoxic_CC/can_divide/diameter_cutoff': 12.066631627283417, 'normoxic_CC/can_divide/O2/threshold': 0.5883440802433104, 'normoxic_CC/diameter/max': 22.95053425098289}",
184,TrialState.PRUNED,,"{'normoxic_CC/can_grow/probability': 0.590337180520544, 'normoxic_CC/can_grow/diameter_rate': 6.946752760424441, 'normoxic_CC/can_divide/probability': 0.9799473360970744, 'normoxic_CC/can_divide/diameter_cutoff': 12.685852701254383, 'normoxic_CC/can_divide/O2/threshold': 0.7277572206720861, 'normoxic_CC/diameter/max': 19.945960199180462}",ABM command failed with exit code 1. See /home/aiwsif/Desktop/calibration-tools/outputs/optuna/EGI1/control/abm_evals/EGI1_0s_optuna_r0_00436/run.log
185,TrialState.PRUNED,0.4635520774375371,"{'normoxic_CC/can_grow/probability': 0.9649544274822216, 'normoxic_CC/can_grow/diameter_rate': 1.5689167094151106, 'normoxic_CC/can_divide/probability': 0.7690278850669661, 'normoxic_CC/can_divide/diameter_cutoff': 13.846514813275691, 'normoxic_CC/can_divide/O2/threshold': 0.6242128164105258, 'normoxic_CC/diameter/max': 24.33254149016877}",
186,TrialState.PRUNED,,"{'normoxic_CC/can_grow/probability': 0.6388330466567556, 'normoxic_CC/can_grow/diameter_rate': 10.424976069397413, 'normoxic_CC/can_divide/probability': 0.8457096342672267, 'normoxic_CC/can_divide/diameter_cutoff': 11.112996145729102, 'normoxic_CC/can_divide/O2/threshold': 0.3210902695316278, 'normoxic_CC/diameter/max': 19.949935755199206}",ABM command failed with exit code 1. See /home/aiwsif/Desktop/calibration-tools/outputs/optuna/EGI1/control/abm_evals/EGI1_0s_optuna_r0_00439/run.log
188,TrialState.PRUNED,0.4627283424575447,"{'normoxic_CC/can_grow/probability': 0.38781357966784397, 'normoxic_CC/can_grow/diameter_rate': 23.478191038570312, 'normoxic_CC/can_divide/probability': 0.7364555734053118, 'normoxic_CC/can_divide/diameter_cutoff': 10.510038018021193, 'normoxic_CC/can_divide/O2/threshold': 0.6081835730538199, 'normoxic_CC/diameter/max': 20.54175522590245}",
189,TrialState.PRUNED,39.43795405439343,"{'normoxic_CC/can_grow/probability': 0.8215486632040994, 'normoxic_CC/can_grow/diameter_rate': 1.0708154620432777, 'normoxic_CC/can_divide/probability': 0.04169337060965034, 'normoxic_CC/can_divide/diameter_cutoff': 18.303121694071258, 'normoxic_CC/can_divide/O2/threshold': 0.8141556069272293, 'normoxic_CC/diameter/max': 24.03178027269547}",
190,TrialState.PRUNED,,"{'normoxic_CC/can_grow/probability': 0.05988724359395081, 'normoxic_CC/can_grow/diameter_rate': 2.230729604801558, 'normoxic_CC/can_divide/probability': 0.8564814989652151, 'normoxic_CC/can_divide/diameter_cutoff': 18.35539984045867, 'normoxic_CC/can_divide/O2/threshold': 0.30830311786635467, 'normoxic_CC/diameter/max': 18.53290001810212}",ABM command failed with exit code 1. See /home/aiwsif/Desktop/calibration-tools/outputs/optuna/EGI1/control/abm_evals/EGI1_0s_optuna_r0_00447/run.log
191,TrialState.PRUNED,0.5084262272025373,"{'normoxic_CC/can_grow/probability': 0.6711378128792747, 'normoxic_CC/can_grow/diameter_rate': 0.8227109816570412, 'normoxic_CC/can_divide/probability': 0.7496310417572489, 'normoxic_CC/can_divide/diameter_cutoff': 15.89985459181634, 'normoxic_CC/can_divide/O2/threshold': 0.33462152111711085, 'normoxic_CC/diameter/max': 29.795719932401834}",
192,TrialState.PRUNED,,"{'normoxic_CC/can_grow/probability': 0.5732799722343538, 'normoxic_CC/can_grow/diameter_rate': 14.043663562278432, 'normoxic_CC/can_divide/probability': 0.9529629966393074, 'normoxic_CC/can_divide/diameter_cutoff': 10.36394253945452, 'normoxic_CC/can_divide/O2/threshold': 0.4844470550284953, 'normoxic_CC/diameter/max': 19.390111279605424}",ABM command failed with exit code 1. See /home/aiwsif/Desktop/calibration-tools/outputs/optuna/EGI1/control/abm_evals/EGI1_0s_optuna_r0_00450/run.log
193,TrialState.PRUNED,1.022457780183883,"{'normoxic_CC/can_grow/probability': 0.45767002582929167, 'normoxic_CC/can_grow/diameter_rate': 0.5641968514811941, 'normoxic_CC/can_divide/probability': 0.6756978063088064, 'normoxic_CC/can_divide/diameter_cutoff': 13.958989759545773, 'normoxic_CC/can_divide/O2/threshold': 0.3272963684583848, 'normoxic_CC/diameter/max': 24.799353131873424}",
198,TrialState.PRUNED,0.4622019786778764,"{'normoxic_CC/can_grow/probability': 0.7550920562465294, 'normoxic_CC/can_grow/diameter_rate': 1.4080522210215247, 'normoxic_CC/can_divide/probability': 0.9793832169928192, 'normoxic_CC/can_divide/diameter_cutoff': 16.116622933898547, 'normoxic_CC/can_divide/O2/threshold': 0.6026469859630003, 'normoxic_CC/diameter/max': 26.8971219519622}",
200,TrialState.PRUNED,0.5646392057565434,"{'normoxic_CC/can_grow/probability': 0.9087285908317879, 'normoxic_CC/can_grow/diameter_rate': 3.205168371526106, 'normoxic_CC/can_divide/probability': 0.43769941088879116, 'normoxic_CC/can_divide/diameter_cutoff': 11.49191559594426, 'normoxic_CC/can_divide/O2/threshold': 0.2647326701126782, 'normoxic_CC/diameter/max': 24.77275384463374}",
202,TrialState.PRUNED,11.98523468692965,"{'normoxic_CC/can_grow/probability': 0.03241299917735152, 'normoxic_CC/can_grow/diameter_rate': 1.5595219187129485, 'normoxic_CC/can_divide/probability': 0.1854133205491792, 'normoxic_CC/can_divide/diameter_cutoff': 10.516150519670713, 'normoxic_CC/can_divide/O2/threshold': 0.8480818123354688, 'normoxic_CC/diameter/max': 25.899547949590264}",
206,TrialState.PRUNED,0.46259319576457414,"{'normoxic_CC/can_grow/probability': 0.8044221478957088, 'normoxic_CC/can_grow/diameter_rate': 3.656503494241126, 'normoxic_CC/can_divide/probability': 0.7115813951219335, 'normoxic_CC/can_divide/diameter_cutoff': 11.992457780747811, 'normoxic_CC/can_divide/O2/threshold': 0.5187021334934727, 'normoxic_CC/diameter/max': 28.1967199599965}",
217,TrialState.PRUNED,,"{'normoxic_CC/can_grow/probability': 0.16116199078539523, 'normoxic_CC/can_grow/diameter_rate': 0.2973235471693171, 'normoxic_CC/can_divide/probability': 0.16048139057032462, 'normoxic_CC/can_divide/diameter_cutoff': 21.989836089397905, 'normoxic_CC/can_divide/O2/threshold': 0.22436034200627786, 'normoxic_CC/diameter/max': 19.319517557637134}",ABM command failed with exit code 1. See /home/aiwsif/Desktop/calibration-tools/outputs/optuna/EGI1/control/abm_evals/EGI1_0s_optuna_r0_00518/run.log
219,TrialState.PRUNED,0.46239824484721104,"{'normoxic_CC/can_grow/probability': 0.9509364557001688, 'normoxic_CC/can_grow/diameter_rate': 3.1972466014690095, 'normoxic_CC/can_divide/probability': 0.7366721152696161, 'normoxic_CC/can_divide/diameter_cutoff': 18.493137990423683, 'normoxic_CC/can_divide/O2/threshold': 0.6536831567573405, 'normoxic_CC/diameter/max': 27.255282878928316}",
220,TrialState.PRUNED,8.283861386773262,"{'normoxic_CC/can_grow/probability': 0.8769499991383749, 'normoxic_CC/can_grow/diameter_rate': 15.098662160097845, 'normoxic_CC/can_divide/probability': 0.9483366544591737, 'normoxic_CC/can_divide/diameter_cutoff': 14.203919021683607, 'normoxic_CC/can_divide/O2/threshold': 0.9583686888116738, 'normoxic_CC/diameter/max': 24.49336365627767}",
222,TrialState.PRUNED,,"{'normoxic_CC/can_grow/probability': 0.8980477178788735, 'normoxic_CC/can_grow/diameter_rate': 8.97140767037308, 'normoxic_CC/can_divide/probability': 0.9491743857873618, 'normoxic_CC/can_divide/diameter_cutoff': 17.12468281743861, 'normoxic_CC/can_divide/O2/threshold': 0.6668580605069229, 'normoxic_CC/diameter/max': 18.945102847098592}",ABM command failed with exit code 1. See /home/aiwsif/Desktop/calibration-tools/outputs/optuna/EGI1/control/abm_evals/EGI1_0s_optuna_r0_00529/run.log
224,TrialState.PRUNED,0.47184449279344715,"{'normoxic_CC/can_grow/probability': 0.9004100362425389, 'normoxic_CC/can_grow/diameter_rate': 2.8635026927644764, 'normoxic_CC/can_divide/probability': 0.8673183694228801, 'normoxic_CC/can_divide/diameter_cutoff': 21.305904509627087, 'normoxic_CC/can_divide/O2/threshold': 0.8856833616933651, 'normoxic_CC/diameter/max': 28.817283660638633}",
226,TrialState.PRUNED,18.654082737712343,"{'normoxic_CC/can_grow/probability': 0.6126192305131067, 'normoxic_CC/can_grow/diameter_rate': 2.4024408822253895, 'normoxic_CC/can_divide/probability': 0.7869982966842684, 'normoxic_CC/can_divide/diameter_cutoff': 18.518245870124716, 'normoxic_CC/can_divide/O2/threshold': 0.9702569515614965, 'normoxic_CC/diameter/max': 29.878686733304455}",
227,TrialState.PRUNED,,"{'normoxic_CC/can_grow/probability': 0.28997156984418737, 'normoxic_CC/can_grow/diameter_rate': 0.6200352796914039, 'normoxic_CC/can_divide/probability': 0.6256260568524674, 'normoxic_CC/can_divide/diameter_cutoff': 14.10033265435096, 'normoxic_CC/can_divide/O2/threshold': 0.040500000451582696, 'normoxic_CC/diameter/max': 15.572887947947898}",ABM command failed with exit code 1. See /home/aiwsif/Desktop/calibration-tools/outputs/optuna/EGI1/control/abm_evals/EGI1_0s_optuna_r0_00540/run.log
228,TrialState.PRUNED,0.4633571338374739,"{'normoxic_CC/can_grow/probability': 0.7362592891839147, 'normoxic_CC/can_grow/diameter_rate': 11.447497358823338, 'normoxic_CC/can_divide/probability': 0.6676935471424125, 'normoxic_CC/can_divide/diameter_cutoff': 13.869379507796529, 'normoxic_CC/can_divide/O2/threshold': 0.6592539128048986, 'normoxic_CC/diameter/max': 27.515148554242757}",
230,TrialState.PRUNED,0.46957025683718884,"{'normoxic_CC/can_grow/probability': 0.4579313216568171, 'normoxic_CC/can_grow/diameter_rate': 12.879383390032874, 'normoxic_CC/can_divide/probability': 0.5658167544387138, 'normoxic_CC/can_divide/diameter_cutoff': 15.558414619272476, 'normoxic_CC/can_divide/O2/threshold': 0.4944058836036196, 'normoxic_CC/diameter/max': 23.46662626570538}",
231,TrialState.PRUNED,0.466558841408383,"{'normoxic_CC/can_grow/probability': 0.5641384681654528, 'normoxic_CC/can_grow/diameter_rate': 1.123872066463157, 'normoxic_CC/can_divide/probability': 0.8495988247116607, 'normoxic_CC/can_divide/diameter_cutoff': 13.278578739926552, 'normoxic_CC/can_divide/O2/threshold': 0.7870339746193037, 'normoxic_CC/diameter/max': 26.85153976579283}",
232,TrialState.PRUNED,0.4640147694365776,"{'normoxic_CC/can_grow/probability': 0.7174178856825579, 'normoxic_CC/can_grow/diameter_rate': 6.573356888629902, 'normoxic_CC/can_divide/probability': 0.6200301599850138, 'normoxic_CC/can_divide/diameter_cutoff': 12.146328125903443, 'normoxic_CC/can_divide/O2/threshold': 0.6413229829480203, 'normoxic_CC/diameter/max': 29.2538245040568}",
233,TrialState.PRUNED,0.4693904565419407,"{'normoxic_CC/can_grow/probability': 0.862147323658005, 'normoxic_CC/can_grow/diameter_rate': 9.82856892924165, 'normoxic_CC/can_divide/probability': 0.5968625988413152, 'normoxic_CC/can_divide/diameter_cutoff': 11.926212812117598, 'normoxic_CC/can_divide/O2/threshold': 0.820520361629526, 'normoxic_CC/diameter/max': 24.67743607368635}",
235,TrialState.PRUNED,126.82604034405549,"{'normoxic_CC/can_grow/probability': 0.0031632603464980535, 'normoxic_CC/can_grow/diameter_rate': 0.2848125261827722, 'normoxic_CC/can_divide/probability': 0.2456339057121235, 'normoxic_CC/can_divide/diameter_cutoff': 21.80936978735651, 'normoxic_CC/can_divide/O2/threshold': 0.7030999294280579, 'normoxic_CC/diameter/max': 24.31150484325671}",
236,TrialState.PRUNED,0.4674174748037121,"{'normoxic_CC/can_grow/probability': 0.42547841078369164, 'normoxic_CC/can_grow/diameter_rate': 13.72376574284956, 'normoxic_CC/can_divide/probability': 0.6191724012212702, 'normoxic_CC/can_divide/diameter_cutoff': 12.597792681454854, 'normoxic_CC/can_divide/O2/threshold': 0.7230719699481418, 'normoxic_CC/diameter/max': 29.712028459975876}",
237,TrialState.PRUNED,0.7090527099016875,"{'normoxic_CC/can_grow/probability': 0.2753813451749519, 'normoxic_CC/can_grow/diameter_rate': 3.3675550032214345, 'normoxic_CC/can_divide/probability': 0.9265878496010345, 'normoxic_CC/can_divide/diameter_cutoff': 16.3455325604036, 'normoxic_CC/can_divide/O2/threshold': 0.5190512245406992, 'normoxic_CC/diameter/max': 20.685766255189787}",
238,TrialState.PRUNED,0.4647384137036566,"{'normoxic_CC/can_grow/probability': 0.4403486834007113, 'normoxic_CC/can_grow/diameter_rate': 4.172842719190215, 'normoxic_CC/can_divide/probability': 0.7494633790945119, 'normoxic_CC/can_divide/diameter_cutoff': 14.543338127071538, 'normoxic_CC/can_divide/O2/threshold': 0.1152220905475777, 'normoxic_CC/diameter/max': 24.026917728947588}",
239,TrialState.PRUNED,0.4622019786778764,"{'normoxic_CC/can_grow/probability': 0.6990589474491851, 'normoxic_CC/can_grow/diameter_rate': 13.326811973974301, 'normoxic_CC/can_divide/probability': 0.8666452714371938, 'normoxic_CC/can_divide/diameter_cutoff': 12.249631723780038, 'normoxic_CC/can_divide/O2/threshold': 0.6143774476080152, 'normoxic_CC/diameter/max': 25.392309631098424}",
240,TrialState.PRUNED,0.6022682242244165,"{'normoxic_CC/can_grow/probability': 0.8924793160560185, 'normoxic_CC/can_grow/diameter_rate': 7.931024041944324, 'normoxic_CC/can_divide/probability': 0.4216501571477318, 'normoxic_CC/can_divide/diameter_cutoff': 19.344610326027066, 'normoxic_CC/can_divide/O2/threshold': 0.5199727838566717, 'normoxic_CC/diameter/max': 25.45991457026201}",
241,TrialState.PRUNED,0.46255421660854557,"{'normoxic_CC/can_grow/probability': 0.9375365677008671, 'normoxic_CC/can_grow/diameter_rate': 19.153340022744793, 'normoxic_CC/can_divide/probability': 0.7212191731677526, 'normoxic_CC/can_divide/diameter_cutoff': 12.861512519843622, 'normoxic_CC/can_divide/O2/threshold': 0.6868835225371306, 'normoxic_CC/diameter/max': 24.178186924290923}",
243,TrialState.PRUNED,0.4647863152914821,"{'normoxic_CC/can_grow/probability': 0.38656869668106797, 'normoxic_CC/can_grow/diameter_rate': 8.770146130034481, 'normoxic_CC/can_divide/probability': 0.8213410078144789, 'normoxic_CC/can_divide/diameter_cutoff': 15.513416709514257, 'normoxic_CC/can_divide/O2/threshold': 0.5142609434964983, 'normoxic_CC/diameter/max': 25.87164779631254}",
244,TrialState.PRUNED,0.46215407709005085,"{'normoxic_CC/can_grow/probability': 0.6543643661770423, 'normoxic_CC/can_grow/diameter_rate': 23.31286668225357, 'normoxic_CC/can_divide/probability': 0.7542857450455187, 'normoxic_CC/can_divide/diameter_cutoff': 14.453180332943617, 'normoxic_CC/can_divide/O2/threshold': 0.19435012654595876, 'normoxic_CC/diameter/max': 24.398299444292686}",
246,TrialState.PRUNED,,"{'normoxic_CC/can_grow/probability': 0.5941398075654809, 'normoxic_CC/can_grow/diameter_rate': 12.934646351411786, 'normoxic_CC/can_divide/probability': 0.6576117433437261, 'normoxic_CC/can_divide/diameter_cutoff': 18.49809351925498, 'normoxic_CC/can_divide/O2/threshold': 0.5546615991627866, 'normoxic_CC/diameter/max': 19.563540022907542}",ABM command failed with exit code 1. See /home/aiwsif/Desktop/calibration-tools/outputs/optuna/EGI1/control/abm_evals/EGI1_0s_optuna_r0_00581/run.log
247,TrialState.PRUNED,0.48332554351622614,"{'normoxic_CC/can_grow/probability': 0.5825511764100991, 'normoxic_CC/can_grow/diameter_rate': 0.9890217715138058, 'normoxic_CC/can_divide/probability': 0.5926563318521176, 'normoxic_CC/can_divide/diameter_cutoff': 13.246266829569457, 'normoxic_CC/can_divide/O2/threshold': 0.790063981516536, 'normoxic_CC/diameter/max': 23.172090508829893}",
248,TrialState.PRUNED,0.4625567228860361,"{'normoxic_CC/can_grow/probability': 0.7639447520287618, 'normoxic_CC/can_grow/diameter_rate': 15.352332457271299, 'normoxic_CC/can_divide/probability': 0.6869988302681629, 'normoxic_CC/can_divide/diameter_cutoff': 13.502049173234239, 'normoxic_CC/can_divide/O2/threshold': 0.8074279855032974, 'normoxic_CC/diameter/max': 29.27361603029442}",
250,TrialState.PRUNED,0.46931790355235437,"{'normoxic_CC/can_grow/probability': 0.5727201861571434, 'normoxic_CC/can_grow/diameter_rate': 0.9732834719090189, 'normoxic_CC/can_divide/probability': 0.7041958216778043, 'normoxic_CC/can_divide/diameter_cutoff': 11.171671586113895, 'normoxic_CC/can_divide/O2/threshold': 0.5866113838833661, 'normoxic_CC/diameter/max': 29.25217405711456}",
254,TrialState.PRUNED,0.46500603395939394,"{'normoxic_CC/can_grow/probability': 0.605548622672325, 'normoxic_CC/can_grow/diameter_rate': 19.11480121705561, 'normoxic_CC/can_divide/probability': 0.6128120533124716, 'normoxic_CC/can_divide/diameter_cutoff': 16.471674030911103, 'normoxic_CC/can_divide/O2/threshold': 0.6767183348726727, 'normoxic_CC/diameter/max': 23.452274101913748}",
256,TrialState.PRUNED,0.48374255224536516,"{'normoxic_CC/can_grow/probability': 0.4176004672401624, 'normoxic_CC/can_grow/diameter_rate': 0.967935491466006, 'normoxic_CC/can_divide/probability': 0.659082796077445, 'normoxic_CC/can_divide/diameter_cutoff': 10.732987097819864, 'normoxic_CC/can_divide/O2/threshold': 0.437231099864389, 'normoxic_CC/diameter/max': 20.78223924569544}",
257,TrialState.PRUNED,0.5182713816158548,"{'normoxic_CC/can_grow/probability': 0.33947625059479697, 'normoxic_CC/can_grow/diameter_rate': 3.3559583347208237, 'normoxic_CC/can_divide/probability': 0.6102782102095604, 'normoxic_CC/can_divide/diameter_cutoff': 15.879863661236268, 'normoxic_CC/can_divide/O2/threshold': 0.6745209046806007, 'normoxic_CC/diameter/max': 24.98712739318445}",
259,TrialState.PRUNED,126.82604034405549,"{'normoxic_CC/can_grow/probability': 0.6141611806092178, 'normoxic_CC/can_grow/diameter_rate': 1.1435291549998752, 'normoxic_CC/can_divide/probability': 0.12535811906111272, 'normoxic_CC/can_divide/diameter_cutoff': 21.849875558289902, 'normoxic_CC/can_divide/O2/threshold': 0.3404150850242459, 'normoxic_CC/diameter/max': 20.27192632367155}",
260,TrialState.PRUNED,0.4629260333724543,"{'normoxic_CC/can_grow/probability': 0.5921987724113924, 'normoxic_CC/can_grow/diameter_rate': 2.214642091626648, 'normoxic_CC/can_divide/probability': 0.7223000896291416, 'normoxic_CC/can_divide/diameter_cutoff': 12.434971224268102, 'normoxic_CC/can_divide/O2/threshold': 0.24924785385286174, 'normoxic_CC/diameter/max': 24.033704268509805}",
262,TrialState.PRUNED,0.47690755409112656,"{'normoxic_CC/can_grow/probability': 0.7363201422213576, 'normoxic_CC/can_grow/diameter_rate': 0.58256317034176, 'normoxic_CC/can_divide/probability': 0.8055504311643733, 'normoxic_CC/can_divide/diameter_cutoff': 13.623849319911763, 'normoxic_CC/can_divide/O2/threshold': 0.6305585026795915, 'normoxic_CC/diameter/max': 25.408560845743878}",
263,TrialState.PRUNED,0.4663515978762721,"{'normoxic_CC/can_grow/probability': 0.7030369212156403, 'normoxic_CC/can_grow/diameter_rate': 2.469714526385644, 'normoxic_CC/can_divide/probability': 0.6063362853065557, 'normoxic_CC/can_divide/diameter_cutoff': 13.712541972744159, 'normoxic_CC/can_divide/O2/threshold': 0.6291318339956212, 'normoxic_CC/diameter/max': 29.32057656803547}",
266,TrialState.PRUNED,0.47606291068715156,"{'normoxic_CC/can_grow/probability': 0.4994664579017211, 'normoxic_CC/can_grow/diameter_rate': 2.303187985117497, 'normoxic_CC/can_divide/probability': 0.8905423854263544, 'normoxic_CC/can_divide/diameter_cutoff': 12.826000183010391, 'normoxic_CC/can_divide/O2/threshold': 0.268171794844983, 'normoxic_CC/diameter/max': 22.667274712072253}",
