current_time, N_vessels, N_cells, tumor_volume_mm3, N_cells_pheno_0, N_cells_pheno_2, N_cells_pheno_2_Ap, N_cells_pheno_2_G1, N_cells_pheno_2_Sy, N_cells_pheno_2_G2, N_cells_pheno_2_Di, N_cells_pheno_2_Tr, N_cells_pheno_2_G0, N_cell_protrusions
0,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
1,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
2,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
3,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
4,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
5,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
6,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
7,0,1118,0.470596,0,1118,0,1118,0,0,0,0,0,0
8,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
9,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
10,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
11,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
12,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
13,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
14,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
15,0,1118,0.470596,0,1118,0,0,1118,0,0,0,0,0
16,0,1118,0.470596,0,1118,0,0,0,1118,0,0,0,0
17,0,1118,0.470595,0,1118,0,0,0,1118,0,0,0,0
18,0,1118,0.470595,0,1118,0,0,0,1118,0,0,0,0
19,0,1118,0.470595,0,1118,0,0,0,1118,0,0,0,0
20,0,1781,0.481679,0,1781,0,1326,0,0,455,0,0,0
21,0,2050,0.475882,0,2050,0,1864,0,0,186,0,0,0
22,0,2168,0.481127,0,2168,0,2100,0,0,68,0,0,0
23,0,2212,0.474654,0,2212,0,2188,0,0,24,0,0,0
24,0,2224,0.470522,0,2224,0,2212,0,0,12,0,0,0
25,0,2229,0.470523,0,2229,0,2222,0,0,7,0,0,0
26,0,2234,0.470523,0,2234,0,2232,0,0,2,0,0,0
27,0,2236,0.470523,0,2236,0,2236,0,0,0,0,0,0
28,0,2236,0.470523,0,2236,0,1573,663,0,0,0,0,0
29,0,2236,0.470523,0,2236,0,641,1595,0,0,0,0,0
30,0,2236,0.470523,0,2236,0,254,1982,0,0,0,0,0
31,0,2236,0.470523,0,2236,0,92,2144,0,0,0,0,0
32,0,2236,0.470523,0,2236,0,36,2200,0,0,0,0,0
33,0,2236,0.470523,0,2236,0,19,2217,0,0,0,0,0
34,0,2236,0.470523,0,2236,0,9,2227,0,0,0,0,0
35,0,2236,0.470523,0,2236,0,2,2234,0,0,0,0,0
36,0,2236,0.470523,0,2236,0,0,1573,663,0,0,0,0
37,0,2236,0.470523,0,2236,0,0,641,1595,0,0,0,0
38,0,2236,0.470523,0,2236,0,0,254,1982,0,0,0,0
39,0,2236,0.470523,0,2236,0,0,92,2144,0,0,0,0
40,0,2627,0.480264,0,2627,0,782,36,1537,272,0,0,0
41,0,3375,0.477268,0,3375,0,2278,19,622,456,0,0,0
42,0,3905,0.479588,0,3905,0,3338,9,245,313,0,0,0
43,0,4193,0.482257,0,4193,0,3914,2,90,187,0,0,0
44,0,4348,0.47492,0,4348,0,4224,0,36,88,0,0,0
45,0,4401,0.470562,0,4401,0,4330,0,19,52,0,0,0
46,0,4445,0.47056,0,4445,0,4418,0,9,18,0,0,0
47,0,4459,0.47056,0,4459,0,4446,0,2,11,0,0,0
48,0,4465,0.47056,0,4465,0,4067,391,0,7,0,0,0
49,0,4469,0.47056,0,4469,0,2936,1530,0,3,0,0,0
50,0,4471,0.47056,0,4471,0,1662,2808,0,1,0,0,0
51,0,4471,0.47056,0,4471,0,844,3626,0,1,0,0,0
52,0,4472,0.47056,0,4472,0,403,4069,0,0,0,0,0
53,0,4472,0.47056,0,4472,0,195,4277,0,0,0,0,0
54,0,4472,0.47056,0,4472,0,98,4374,0,0,0,0,0
55,0,4472,0.47056,0,4472,0,40,4432,0,0,0,0,0
56,0,4472,0.47056,0,4472,0,20,4061,391,0,0,0,0
57,0,4472,0.47056,0,4472,0,10,2932,1530,0,0,0,0
58,0,4472,0.47056,0,4472,0,4,1660,2808,0,0,0,0
59,0,4472,0.47056,0,4472,0,2,844,3626,0,0,0,0
60,0,4707,0.475366,0,4707,0,471,402,3678,156,0,0,0
61,0,5510,0.473548,0,5510,0,2076,195,2747,492,0,0,0
62,0,6591,0.478235,0,6591,0,4238,98,1566,689,0,0,0
63,0,7541,0.474479,0,7541,0,6138,40,806,557,0,0,0
64,0,8125,0.482287,0,8125,0,7306,20,383,416,0,0,0
65,0,8510,0.484118,0,8510,0,8076,10,185,239,0,0,0
66,0,8715,0.470626,0,8715,0,8486,4,94,131,0,0,0
67,0,8829,0.47199,0,8829,0,8714,2,38,75,0,0,0
68,0,8884,0.47061,0,8884,0,8589,236,19,40,0,0,0
69,0,8912,0.47061,0,8912,0,7607,1273,10,22,0,0,0
70,0,8930,0.47061,0,8930,0,5759,3157,4,10,0,0,0
71,0,8936,0.470611,0,8936,0,3740,5188,2,6,0,0,0
72,0,8940,0.470607,0,8940,0,2214,6722,1,3,0,0,0
